epoch,total,prediction,regularizer,variance,covariance,embedding_std,velocity_rms,learning_rate,weight_decay,ema_momentum,seconds,samples_per_second,peak_gpu_memory_gib,prediction_defocus_100_to_075,prediction_defocus_075_to_050,prediction_defocus_050_to_025,prediction_defocus_025_to_000,prediction_resolution_100_to_075,prediction_resolution_075_to_050,prediction_resolution_050_to_025,prediction_resolution_025_to_000
1.0,0.10299710737117679,0.009560045536191173,0.9343706158697869,0.687468418032742,6.172555044502748,0.3127078078823925,0.5634206911760438,3.3333333333333337e-06,0.0400095547404416,0.9960001061637827,16.813283148003393,469.9260656261688,6.0859055519104,0.00861350739452131,0.009106048756939733,0.009398645166307687,0.008319506781143054,0.00967047047145261,0.009819292640756993,0.010081506031469553,0.011377002889588034
2.0,0.0906348999124315,0.007225708864132312,0.834091888139737,0.7054506935902508,3.2160299325529467,0.2943606917963135,0.5614460595513187,6.6666666666666675e-06,0.040038847016218126,0.9960004316335135,12.53702642499411,630.2132365493288,6.0854172706604,0.006179054197808067,0.007432888462624657,0.006478115197609065,0.005928326937371938,0.007190549707350631,0.007961876070742826,0.00789045225402326,0.008659984858748066
3.0,0.08729182584608465,0.005623774576782256,0.8166804956629403,0.7083082330512059,2.709306639910438,0.29150215739570773,0.5635125889550009,1e-05,0.04008787618256704,0.9960009764020286,12.491946720998385,632.4874878563791,6.0854172706604,0.005241982834805587,0.005596973640363543,0.004528714291765768,0.004907915853681053,0.00591688141583728,0.005464080451700672,0.0062324031922451366,0.007186797800232628
4.0,0.0849388566440064,0.004781873852456334,0.8015698093113274,0.7107763845488144,2.269835648997164,0.2890374223622562,0.5782576390058689,1.3333333333333335e-05,0.040156636862309636,0.9960017404095812,12.705742189995362,621.844822746469,6.0854172706604,0.0037441083231915147,0.0042283826553608074,0.003793006187490144,0.004012944280486746,0.00490324384091716,0.005606045523985368,0.005248854787582541,0.006721005078913481
5.0,0.08286716707249772,0.004237402045438975,0.7862976316846846,0.7086813650452899,1.94040674394391,0.29113835491284346,0.5830486201210997,1.6666666666666667e-05,0.040245121514251525,0.9960027235723806,12.476499390002573,633.270579593109,6.0854172706604,0.00312491753558499,0.0035582131670322727,0.0033827762558497855,0.003340561317398827,0.004691598219290105,0.004740300371562003,0.004721913147741927,0.006329170056438494
6.0,0.08193878221815107,0.00426360154055307,0.7767517971488558,0.7038252089856742,1.8231647581469332,0.295999852928417,0.5910586864491714,2e-05,0.04035332043401019,0.9960039257826001,12.498390445995028,632.1613998330312,6.0854172706604,0.003371856288479166,0.003742846951108693,0.003429754916850054,0.0034107530661270707,0.004754694261836575,0.0047125062428007075,0.0044396399980861185,0.00626874020950279
7.0,0.08089504069771862,0.004330082487389436,0.7656495727824042,0.6961243095586246,1.7381316762742416,0.30370677256037987,0.6089507143582864,2.3333333333333332e-05,0.04048122175507879,0.9960053469083897,12.824238036002498,616.0989820852434,6.0854172706604,0.003395678130496899,0.0037180318792055657,0.0033648253277758695,0.0032321736386563423,0.00486330931045184,0.004675909132131307,0.004860800712262813,0.006532777491726993
8.0,0.07983624858579187,0.004550347627086242,0.7528589949428606,0.685266546155362,1.6898112440091146,0.314571622077792,0.6313931707143331,2.666666666666667e-05,0.040628811450127866,0.9960069867938903,12.692327652999666,622.5020513185934,6.0854172706604,0.003447606914381885,0.003908892287849792,0.0036638708842458047,0.003505515275479396,0.005295892894313328,0.005135815613404691,0.004844678133161569,0.00656221648416366
9.0,0.0789397223876739,0.004736395884098252,0.7420332534617071,0.6728065679185286,1.73066707659848,0.3270380448810723,0.6381055591996901,3e-05,0.040796073332543814,0.9960088452592505,12.794534397995449,617.5293101121264,6.0854172706604,0.0038085091454179393,0.003932530981579904,0.003659973309379116,0.003619757521495656,0.005503979035509546,0.005260147768851431,0.005111322688238758,0.006846588663571878
10.0,0.07829618142226304,0.0051038360735100935,0.7319234410972025,0.6589719746297197,1.8237866740666708,0.3408789575258368,0.6355916352426534,3.3333333333333335e-05,0.04098298905820391,0.9960109221006467,12.431070108010317,635.5848636803008,6.0854172706604,0.004180452986023365,0.004324632958501331,0.003919584084634144,0.0036895077926507266,0.006085382956016598,0.0058222913120816325,0.0054582300406583115,0.007287975103880704
11.0,0.07755646881042833,0.005875440778894664,0.716810262937996,0.6403569645435655,1.9113325605421425,0.35950195849688654,0.6539764165455836,3.6666666666666666e-05,0.04118953812748827,0.9960132170903054,12.425060138004483,635.8922944632873,6.0854172706604,0.004993416516161255,0.005238825105066992,0.004633740670979023,0.004479318274755965,0.006878442809059115,0.006491034472775128,0.006087724357046217,0.008060912118537657
12.0,0.0764983660455309,0.006025190015227157,0.7047317508141793,0.6236513600275797,2.027009797660539,0.37621390555134576,0.6667354628264549,4e-05,0.04141569788752825,0.9960157299765281,12.796233703003963,617.4473039004603,6.0854172706604,0.005229301915010985,0.0053303683653655575,0.004611028049517971,0.00454645630615045,0.0070288216123696075,0.006565070926282273,0.006459306427881918,0.008200614497656975
13.0,0.07562801276482504,0.006094656679333728,0.6953335488888149,0.6092487023368905,2.152121223840302,0.39062171180917254,0.6738240359071206,4.3333333333333334e-05,0.04166144353469042,0.9960184604837188,12.524320830008946,630.8525713481229,6.0854172706604,0.005179128223257457,0.005485533672805515,0.004744691788632437,0.0044827650262471265,0.007492685901280207,0.006969058757308144,0.006337588213808168,0.008223405817160296
14.0,0.07513776528293642,0.0063154040159790325,0.6882235944806707,0.5965341343908065,2.292236561413702,0.4033404344879303,0.6749749934880013,4.6666666666666665e-05,0.04192674811729752,0.9960214083124144,12.50623557298968,631.7648467348696,6.0854172706604,0.005409329637326667,0.005622822336946314,0.005026264800763255,0.004557502649954913,0.007614593145094419,0.00716770320939712,0.00681316264026769,0.008334478951398806
15.0,0.07481531813833144,0.006535002125320805,0.6828031515323758,0.5868330910271926,2.399251601195399,0.4130445624994124,0.6604069162585919,5e-05,0.04221158253858376,0.9960245731393176,12.310967205005,641.7854802495018,6.0854172706604,0.005636480841653566,0.005813647815470399,0.004919520786851351,0.004659506761805808,0.008093706023031519,0.00723084380630479,0.006919203452357785,0.009044638384253748
16.0,0.07543604252531082,0.007437691491494683,0.6799834948554098,0.5818653746943371,2.452953008862481,0.4180138729113806,0.6419695576539961,5.333333333333334e-05,0.04251591555988615,0.9960279546173321,12.81495007200283,616.545515636579,6.0854172706604,0.006219597725642596,0.006935301857690017,0.005698925950378904,0.0055150789449472945,0.009431136829440068,0.008102199991247547,0.007903250055751924,0.009829525522251225
17.0,0.076606378126161,0.00813691103810895,0.6846946590445552,0.5895252673328112,2.3792348624090502,0.41035167097200426,0.7089238247906403,5.666666666666667e-05,0.042839713804070534,0.9960315523756008,12.635395429999335,625.3069042256651,6.0854172706604,0.007313483546079674,0.00744597557987962,0.006487613701583999,0.005785393420962001,0.010044736317699405,0.00929328700443382,0.008327528167126784,0.010362772010420084
18.0,0.07454086895789275,0.006971651481113476,0.675692167535279,0.5738298959587815,2.546556748946759,0.4260518406896769,0.5744156112868248,6e-05,0.043182941759192184,0.9960353660195466,12.844159283995396,615.1434146293349,6.0854172706604,0.006081111058967198,0.006139200158747546,0.004955115292541295,0.004651618882193478,0.009210588117984048,0.008088823183839352,0.007333031583462256,0.009220980586536438
