epoch,samples,seconds,samples_per_second,learning_rate,weight_decay,peak_gpu_memory_gib,loss,gradient_norm,context_tokens,target_tokens_per_block,ema_momentum
1,7901,7.345336998987477,1075.648401304,0.00014861985472154962,0.04214878683664375,3.8310680389404297,0.20534662344292468,0.19941816555915823,12.74370332869257,10.506644728515377,0.9961969330104923
2,7901,6.594557066971902,1198.1092770538405,0.0002386924939467312,0.048683339517163415,3.7698163986206055,0.06388985351107118,0.09021914739163145,12.458043285660043,10.833565371471966,0.9963970944309928
3,7901,6.199365164968185,1274.4853367644052,0.00029974864436377644,0.05944307499669321,3.8310680389404297,0.04304841398125343,0.09773688538853631,12.481584609543097,10.798253385647387,0.9965972558514932
4,7901,6.647151315992232,1188.629478163249,0.00029572916798170266,0.07416262591900591,3.8381481170654297,0.03576392258417605,0.07834541948139478,12.927857233261612,10.444753828629288,0.9967974172719936
5,7901,6.549772372993175,1206.3014636322894,0.0002869328105178234,0.09247896399957373,3.8381481170654297,0.03592507711814078,0.09054253730060571,12.481584609543097,10.701050499936716,0.996997578692494
6,7901,6.654411357012577,1187.33266942894,0.0002736482063567183,0.11394035339215297,3.7694501876831055,0.034641039216273976,0.07667772178445613,12.678901404885458,10.701050499936716,0.9971977401129943
7,7901,6.654482388985343,1187.3199954782242,0.0002563112624703548,0.13801749184996365,3.8381481170654297,0.03467673874109957,0.07478564436839903,12.988229338058474,10.396152385773952,0.9973979015334947
8,7901,6.623581013001967,1192.8592681950267,0.00023549085502704237,0.16411656490700705,3.922104835510254,0.03415531256158221,0.07428578141623624,12.539045690418934,10.687761042905962,0.9975980629539951
9,7901,6.695002416963689,1180.1340026376351,0.00021187016288959687,0.19159389112424535,3.8416881561279297,0.033792893859747465,0.07458550791252476,12.587647133274269,10.78496392861663,0.9977982243744956
10,7901,6.512916242994834,1213.1278378557627,0.00018622425050559576,0.21977179720493875,3.7694501876831055,0.032858098992777765,0.07442708403049368,12.421212504746235,10.833565371471966,0.997998385794996
11,7901,6.715743301028851,1176.4892798671397,0.00015939463576108826,0.2479553314511688,3.8381481170654297,0.03301284387198494,0.07135627067491927,12.798253385647387,10.78496392861663,0.9981985472154964
12,7901,6.595660405000672,1197.908854435509,0.00013226167730135308,0.27544940335757034,3.8388805389404297,0.03185071760274393,0.05843113563740771,12.603847614226048,10.736362485761296,0.9983987086359968
13,7901,6.706516960053705,1178.1078087270996,0.00010571568737199956,0.3015759266284715,3.8357067108154297,0.030975027806908854,0.05928734025613007,12.967599038096443,10.312238957094038,0.9985988700564972
14,7901,6.740324317011982,1172.1987887227585,8.062771805313888e-05,0.32569054282021,3.8357067108154297,0.030578951702962764,0.05336071452963519,12.991140361979497,10.458043285660043,0.9987990314769976
15,7901,6.569500907033216,1202.67888106101,5.782097947628681e-05,0.3471985131534347,3.7691450119018555,0.030778256752405073,0.05476824583365727,12.516896595367674,10.701050499936716,0.998999192897498
16,7901,6.700622788979672,1179.1441256765797,3.804382787644508e-05,0.3655693865556262,3.830392837524414,0.0305189252641854,0.05090292208693538,12.571446652322491,10.78496392861663,0.9991993543179983
17,7901,6.602314517949708,1196.701547392139,2.1945209820894116e-05,0.38035008217590316,3.8381481170654297,0.03034644444571984,0.039630604738838955,12.74370332869257,10.555246171370712,0.9993995157384988
18,7901,6.511587918968871,1213.3753084994275,1.0053368361843392e-05,0.3911760637180513,3.8381481170654297,0.03019586762932264,0.037565008981263935,12.39324136185293,10.78496392861663,0.9995996771589992
19,7901,6.595565591997001,1197.926074692821,2.7585098267580337e-06,0.3977803299992005,3.8381481170654297,0.029440195563604915,0.03568889287206934,12.631818757119351,10.78496392861663,0.9997998385794996
20,7901,6.3005174759891815,1254.0239797937459,3e-07,0.4,3.7698163986206055,0.029448890395640737,0.03286666322795142,12.814453866599164,10.347550942918618,1.0
