epoch,samples,seconds,samples_per_second,learning_rate,weight_decay,peak_gpu_memory_gib,loss,gradient_norm,dino_global_loss,dino_local_loss,ibot_loss,koleo_loss,teacher_temperature,masked_patch_fraction,logical_views,ema_momentum
1,7901,32.89602440397721,240.18099886394631,0.0004923325262308313,0.04214878683664375,17.2076358795166,16.762422269061464,1.217833698165521,11.094876101915935,11.09216138788785,5.532088286362786,0.6893539951920675,0.042450757911233844,0.14763855042638332,10.0,0.9920477508185921
2,7901,32.56135328300297,242.64961997523372,0.00099273607748184,0.048683339517163415,17.428192138671875,16.583530444855057,0.3364608474787753,11.08393725424292,11.080343147362807,5.511847533209235,-0.045299487387194026,0.04745479342374394,0.14763855042638332,10.0,0.9921929631003814
3,7901,32.846426417003386,240.54367131731394,0.0009926177735298082,0.05944307499669321,17.428192138671875,16.56475642674664,0.23112499191291483,11.083845054299118,11.080027855826154,5.512385608485765,-0.1404053358703667,0.052458828936254025,0.14763855042638332,10.0,0.9924320683332598
4,7901,32.81603315193206,240.766455939993,0.000970260318109101,0.07416262591900591,17.428192138671875,16.609127028986347,0.5071336355726563,11.087250114950768,11.084360554918067,5.530957809204905,-0.032562060339392594,0.05746286444876412,0.14763855042638332,10.0,0.9927591694648668
5,7901,33.353375408099964,236.88756844925564,0.0009336064422284333,0.09247896399957373,17.428192138671875,16.775479915277547,3.4413346612382547,11.090910593869792,11.09053381212662,5.5450324245743055,0.6993574352599958,0.0624668999612742,0.14763855042638332,10.0,0.9931661991999905
6,7901,32.006215936969966,246.85829826179662,0.0008837716492644772,0.11394035339215297,17.428192138671875,16.892135938531673,13.396570622083614,11.090467199164543,11.090432183951641,5.545274891893768,1.2821242319995914,0.0674709354737843,0.14763855042638332,10.0,0.99364311896427
7,7901,33.88232434995007,233.1894328852809,0.00082227258318711,0.13801749184996365,17.428192138671875,16.885082422547846,17.66976582534765,11.09040940246949,11.090401694738718,5.545209653738737,1.2473500771336037,0.06999999999999997,0.14763855042638332,10.0,0.9941781664855548
8,7901,33.24300361506175,237.67407095609772,0.0007509808718725985,0.16411656490700705,17.428192138671875,16.877229010269712,25.402510312399883,11.09037966728814,11.090375185344751,5.545195260752214,1.2082893491138342,0.06999999999999997,0.14763855042638332,10.0,0.9947581458868223
9,7901,33.656319484929554,234.75531849339222,0.0006720661670368749,0.19159389112424535,17.428192138671875,16.83249571075652,23.02072055381154,11.09036736777426,11.090364866325515,5.545185792749403,0.9847226536676803,0.06999999999999997,0.14763855042638332,10.0,0.9953687531360943
10,7901,33.40185107290745,236.54377665340155,0.0005879301142794367,0.21977179720493875,17.428192138671875,16.76151235923482,512.7008129178294,11.090366666852002,11.090367695000063,5.545199462362912,0.6297258011164084,0.06999999999999997,0.14763855042638332,10.0,0.9959949288267764
11,7901,33.93545909097884,232.82431449705496,0.000501133262756295,0.2479553314511688,17.428192138671875,16.760519341296327,46.2504801118303,11.090365636048476,11.090364932350049,5.545196731216379,0.6247866354838396,0.06999999999999997,0.14763855042638332,10.0,0.9966212295878037
12,7901,33.75549209699966,234.0656144871393,0.0004143171388717454,0.27544940335757034,17.428192138671875,16.821256056509053,245.39410108047986,11.09036105162825,11.090360892903819,5.5451932311918055,0.9285084283618954,0.06999999999999997,0.14763855042638332,10.0,0.9972322089635015
13,7901,33.477557715028524,236.00885307272983,0.00033012385555425655,0.3015759266284715,17.428192138671875,16.829522124062215,177.37544779939873,11.090358873180703,11.090359158281164,5.545190582183657,0.969859575436185,0.06999999999999997,0.14763855042638332,10.0,0.9978127983695216
14,7901,32.947398587013595,239.80648970308158,0.00025111570368241214,0.32569054282021,17.428192138671875,16.79756868442332,91.22638703430624,11.090360950479145,11.090361776328995,5.545188936820861,0.8100895506794612,0.06999999999999997,0.14763855042638332,10.0,0.998348678729338
15,7901,36.846507512032986,214.43009211713664,0.00017969717277007874,0.3471985131534347,17.428192138671875,16.817910423853355,35.24330798681289,11.09035992377952,11.090360510878858,5.545191108871149,0.9117934803557749,0.06999999999999997,0.14763855042638332,10.0,0.9988266336256318
16,7901,33.19532983493991,238.0154087724642,0.00011804177408927185,0.3655693865556262,17.428192138671875,16.754310057745933,55.79217225173624,11.090362630302643,11.090362414002886,5.545193745929702,0.5937686825595224,0.06999999999999997,0.14763855042638332,10.0,0.9992348752567917
17,7901,33.749336921959184,234.10830317259277,6.802589325450065e-05,0.38035008217590316,17.428192138671875,16.728581535591385,62.18643442290808,11.090364449175985,11.09036232130299,5.5451916798566385,0.46513763694367277,0.06999999999999997,0.14763855042638332,10.0,0.9995633351594645
18,7901,33.674329609028064,234.62976373200752,3.11716853617243e-05,0.3911760637180513,17.428192138671875,16.70963804614105,285.31074957828883,11.090365166875957,11.090362274953042,5.545192342093588,0.3704167616214953,0.06999999999999997,0.14763855042638332,10.0,0.9998039125270678
19,7901,33.756531807011925,234.05840520496835,8.600750579034376e-06,0.3977803299992005,17.428192138671875,16.701247036751276,71.25528676702076,11.090364904226254,11.09036234797835,5.545190689669668,0.32847004737330154,0.06999999999999997,0.14763855042638332,10.0,0.9999506739999823
20,7901,34.10148890700657,231.6907634603791,1e-06,0.4,17.428192138671875,16.701236812483884,69.71423243546906,11.090364661251137,11.090362255278455,5.545190372281159,0.3284222555226909,0.06999999999999997,0.14763855042638332,10.0,1.0
