epoch,total,prediction,regularizer,variance,covariance,embedding_std,learning_rate,ema_momentum,seconds,samples_per_second,peak_gpu_memory_gib
1,0.34220100217130484,0.257756825176738,0.8444417564043016,0.7415347239545984,2.572675817390889,0.25832067321952484,0.0001,0.9960950837994079,12.943424013908952,610.4258032117017,6.061539173126221
2,0.13789267260512889,0.05948575480371136,0.7840691701684809,0.7101485052300079,1.84801676224763,0.2896745175655062,9.709907855511239e-05,0.9963772062903147,4.336393988924101,1822.0207896654497,6.062424182891846
3,0.10539568872213997,0.034806531234310184,0.7058915639056418,0.6171047481430164,2.219670358601589,0.3827605204459399,8.855841453121949e-05,0.9968186885537803,11.384152069920674,694.0350015945505,6.062424182891846
4,0.08952982525118784,0.02973955165896102,0.5979027241155356,0.48200338977060053,2.8974834118533956,0.5178987659271601,7.541101508326354e-05,0.9973761766424271,4.653143975883722,1697.991732245819,6.062424182891846
5,0.08133261068880279,0.030610265423622846,0.5072234476265945,0.37421525801877226,3.325204819067417,0.6257041714309424,5.9248291506676266e-05,0.9979949247346013,11.227571784052998,703.7140489470867,6.062424182891846
6,0.07783352442480856,0.0328214578429531,0.4501206623068521,0.3043233448758093,3.644933014123625,0.6956043736630793,4.202664141199204e-05,0.9986141712223108,4.3308422258123755,1824.3564618699397,6.062424182891846
7,0.07693471469210456,0.03479669271905714,0.4213802135529329,0.2678390209048085,3.838529973403666,0.7320945464709245,2.5830638907964652e-05,0.9991731055546825,4.599434078903869,1717.8200327382356,6.062424182891846
8,0.07677750666259799,0.03636181817909024,0.40415687568428216,0.24531818390903465,3.9709674602006904,0.7546152584221737,1.2620709813234395e-05,0.9996168398876546,11.834867190103978,667.603604931589,6.062424182891846
9,0.07634929072033105,0.03687557783517682,0.39473712110486214,0.23385866202669586,4.021961533529911,0.7660757808078167,3.9958342497959805e-06,0.9999017991186386,4.282566386973485,1844.9217796209537,6.062424182891846
10,0.07598746542598066,0.03687210686937674,0.39115358086993857,0.2296264339075739,4.038178748804442,0.7703085161661622,1e-06,1.0,11.382139523979276,694.1577181824736,6.062424182891846
