epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,1.6508634782906397,0.5341130604288499,0.530550190736687,0.8798786401748657,0.7368421052631579,0.7372094096916555
2,0.8379724854004313,0.7529239766081871,0.7526839938313218,0.7307440042495728,0.7611336032388664,0.7559859277485014
3,0.6335711381588763,0.8167641325536062,0.8159088167405129,0.48804348707199097,0.8582995951417004,0.8595088209542167
4,0.47915268502040215,0.8572124756335283,0.8585876693567757,0.532977283000946,0.8380566801619433,0.8327963419324976
5,0.47946319315168595,0.8679337231968811,0.8692408093905432,0.42049095034599304,0.8906882591093117,0.8915608139635599
6,0.39072840582383306,0.8927875243664717,0.8930840672090047,0.4144415557384491,0.8704453441295547,0.8718679176573911
7,0.3354825824208659,0.9098440545808967,0.9097372456234027,0.37429678440093994,0.8866396761133604,0.8867593199503561
8,0.29472088183459716,0.9161793372319688,0.9158051721859257,0.44340214133262634,0.8704453441295547,0.8715416746995696
9,0.23936619658248234,0.935672514619883,0.9357172287537671,0.319960355758667,0.8947368421052632,0.8942750477178
10,0.183189083566094,0.952729044834308,0.952621536852535,0.2714671194553375,0.9068825910931174,0.9064107220857793
11,0.14444482619883256,0.966374269005848,0.9663334267805295,0.26220694184303284,0.9109311740890689,0.9103864120892448
12,0.20808599822470086,0.9444444444444444,0.944407038719319,0.29816532135009766,0.8947368421052632,0.8962894229255786
13,0.22199792645828068,0.9434697855750487,0.9434767392303515,0.7029134035110474,0.8582995951417004,0.8625744335126486
14,0.42566472667198607,0.9171539961013645,0.918649790525162,0.7358304858207703,0.8785425101214575,0.8780143080760535
15,0.3445615622616186,0.935672514619883,0.9354457555550254,0.5574937462806702,0.902834008097166,0.9026307660735186
16,0.26991614103898204,0.9376218323586745,0.9380880425463375,0.5244570374488831,0.8987854251012146,0.8986683862575204
17,0.23464358017414982,0.9454191033138402,0.9456922233478469,0.4841216802597046,0.8987854251012146,0.8969403110924454
18,0.1699711273099363,0.9649122807017544,0.9648572193818694,0.3622379004955292,0.9190283400809717,0.9182867424972688
19,0.1380584335996684,0.9722222222222222,0.9722488045405088,0.34391576051712036,0.9230769230769231,0.9223746885634362
20,0.10228955927241383,0.9858674463937622,0.9858257671475992,0.3169623613357544,0.9311740890688259,0.930903969325022
21,0.08320147251677618,0.9897660818713451,0.9897427734641314,0.302448034286499,0.9271255060728745,0.926845141467567
22,0.06906092089199647,0.9941520467836257,0.9941471475568568,0.27179980278015137,0.9352226720647774,0.9351084977400768
23,0.06149395231382656,0.9946393762183235,0.9946413625531395,0.24350281059741974,0.9352226720647774,0.9354975044448729
24,0.10679852002487313,0.9809941520467836,0.9810405292179132,0.2841144800186157,0.9230769230769231,0.9250600716607188
25,0.08006405641032532,0.9819688109161794,0.9819863988911505,0.22552770376205444,0.9190283400809717,0.9190131311183943
26,0.06342943493806943,0.9897660818713451,0.9896972475442589,0.1767508089542389,0.9473684210526315,0.947726152989311
27,0.07035965701205689,0.9878167641325536,0.9878145893119242,0.18768878281116486,0.9392712550607287,0.9394400531242638
28,0.054369093247527735,0.9902534113060428,0.9901816273254441,0.15950354933738708,0.9473684210526315,0.9477353640511536
29,0.050477491223324115,0.9912280701754386,0.9912554062559756,0.18323884904384613,0.9352226720647774,0.9358296935973887
30,0.03712670880480584,0.9970760233918129,0.9970758980418197,0.17085348069667816,0.9433198380566802,0.944063311831007
31,0.033208556945270494,0.996588693957115,0.9965972956206864,0.16799584031105042,0.9433198380566802,0.9448591268917947
32,0.029838370685747028,0.9975633528265108,0.9975608551890666,0.1512308120727539,0.9473684210526315,0.9482511318083006
33,0.027716611410113556,0.9980506822612085,0.9980505778019855,0.14191710948944092,0.97165991902834,0.9717376775271512
34,0.024004382723089142,0.9995126705653021,0.9995126601199172,0.1431906819343567,0.9554655870445344,0.9557847093418781
35,0.021994234046392273,0.9995126705653021,0.9995126601199172,0.14372983574867249,0.9635627530364372,0.9639956212370004
36,0.0219094421111817,0.9995126705653021,0.9995126601199172,0.15258155763149261,0.9595141700404858,0.9600826705726886
37,0.025035264831014543,0.9980506822612085,0.9980551218372987,0.14688441157341003,0.9595141700404858,0.9596889660047555
38,0.026263926600307574,0.9980506822612085,0.9980549976293801,0.1451440155506134,0.951417004048583,0.951572683550905
39,0.022051106066375854,0.9990253411306043,0.9990253202398345,0.15769760310649872,0.951417004048583,0.952361230540825
40,0.019986853773249984,0.9995126705653021,0.9995126601199172,0.1455090343952179,0.9595141700404858,0.9600862752223913
41,0.01888293534749665,0.9995126705653021,0.9995126601199172,0.1425120234489441,0.9595141700404858,0.9600862752223913
