learning_rate,weight_decay,best_epoch,val_macro_f1,epochs_run,seed,cache_sha256,standardized_tensor_sha256
0.001,0.0,22,0.1733946172790993,30,20260903,77199339baafc4a9a333954c40c98cb0ace02367303c4ee09764e5245a78c972,dfb4c75b08574ba6d8fcbe2b2d875e21c433aea66e9015a6adef4b0343d30e75
0.001,0.0001,22,0.1733946172790993,30,20260903,77199339baafc4a9a333954c40c98cb0ace02367303c4ee09764e5245a78c972,dfb4c75b08574ba6d8fcbe2b2d875e21c433aea66e9015a6adef4b0343d30e75
0.003,0.0,22,0.18988687420213549,30,20260903,77199339baafc4a9a333954c40c98cb0ace02367303c4ee09764e5245a78c972,dfb4c75b08574ba6d8fcbe2b2d875e21c433aea66e9015a6adef4b0343d30e75
0.003,0.0001,22,0.18988687420213549,30,20260903,77199339baafc4a9a333954c40c98cb0ace02367303c4ee09764e5245a78c972,dfb4c75b08574ba6d8fcbe2b2d875e21c433aea66e9015a6adef4b0343d30e75
0.01,0.0,21,0.19160770258293475,29,20260903,77199339baafc4a9a333954c40c98cb0ace02367303c4ee09764e5245a78c972,dfb4c75b08574ba6d8fcbe2b2d875e21c433aea66e9015a6adef4b0343d30e75
0.01,0.0001,21,0.19160770258293475,29,20260903,77199339baafc4a9a333954c40c98cb0ace02367303c4ee09764e5245a78c972,dfb4c75b08574ba6d8fcbe2b2d875e21c433aea66e9015a6adef4b0343d30e75
