epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,2.8170680056306123,0.13304093567251463,0.12833164394351587,2.467080593109131,0.2834008097165992,0.2752699636605879
2,2.1768034680312605,0.3654970760233918,0.3513458653561555,2.3481898307800293,0.340080971659919,0.3332412658204333
3,1.9546670460561564,0.4215399610136452,0.41929077514883706,2.326375961303711,0.3441295546558704,0.33956636875965135
4,1.8358468967571593,0.4346978557504873,0.43227337411824784,2.3567192554473877,0.3117408906882591,0.29680267769753493
5,1.7651521371819123,0.459551656920078,0.4572616208621316,2.39876127243042,0.2874493927125506,0.2845044221963657
6,1.7117173755378055,0.47076023391812866,0.4670544989550862,2.4260094165802,0.32388663967611336,0.3084252638221474
7,1.6632755804247792,0.49415204678362573,0.49291201050010697,2.4422056674957275,0.3157894736842105,0.305865795061927
8,1.6293396833579674,0.5058479532163743,0.5047712060071415,2.4471662044525146,0.30364372469635625,0.2923233287724579
9,1.5955522027861537,0.5082846003898636,0.5052308302350997,2.4703571796417236,0.29959514170040485,0.28227747616166016
10,1.5824365348611427,0.5131578947368421,0.5098275720400376,2.485199451446533,0.30364372469635625,0.2868872253863504
11,1.555244355173836,0.5243664717348928,0.5230063670624034,2.5047109127044678,0.2793522267206478,0.27317795268565
