epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,1.2761168171850483,0.5417837078651685,0.5391528575325787,1.0661139488220215,0.6676136363636364,0.6676077963454885
2,0.9343202837397543,0.682935393258427,0.6789219078359743,0.949755072593689,0.6505681818181818,0.650511454182197
3,0.814587542180265,0.7152387640449438,0.7139423604163555,0.9197580814361572,0.7045454545454546,0.7013522044864038
4,0.7433733297198006,0.733497191011236,0.7315498840369414,0.8102216124534607,0.7102272727272727,0.7112514421537096
5,0.6907109912861599,0.7524578651685393,0.7509750730084838,0.8237918615341187,0.7102272727272727,0.7094891854959097
6,0.6733535119656766,0.7587780898876404,0.7572679641550878,0.7680040001869202,0.7073863636363636,0.7069983701684909
7,0.6116275013832564,0.7833567415730337,0.782940811249125,0.7286674976348877,0.7130681818181818,0.7123986167932526
8,0.5770892172716977,0.7988061797752809,0.7973103725568729,0.7465086579322815,0.7130681818181818,0.7134668631678414
9,0.5419869047872136,0.805126404494382,0.8037223169573584,0.7382108569145203,0.7585227272727273,0.7604349016364569
10,0.5277470092425186,0.8103932584269663,0.8091366575942167,0.690596342086792,0.75,0.7499607804192371
11,0.5309217491846406,0.8037219101123596,0.8034024303176266,0.6716728210449219,0.7840909090909091,0.7859723220233972
12,0.5127610095431295,0.8149578651685393,0.8137473978288057,0.6823703050613403,0.7642045454545454,0.7652193888887775
13,0.48273099674267717,0.819873595505618,0.8193796120668746,0.6908267140388489,0.7585227272727273,0.7570583327657134
14,0.48203745316923335,0.8216292134831461,0.8192007898204463,0.7044247984886169,0.75,0.7502336793567218
15,0.4690260302819563,0.8381320224719101,0.8375195503932409,0.6933205127716064,0.7556818181818182,0.7572136145274684
16,0.4246386657939868,0.8591994382022472,0.8585721722107398,0.6328094005584717,0.7698863636363636,0.7696931477204905
17,0.4140384920527426,0.8521769662921348,0.8513593432305052,0.647956132888794,0.7613636363636364,0.7639004366221447
18,0.3962106691317612,0.8672752808988764,0.8667723836635747,0.5936341285705566,0.7840909090909091,0.7848461577180621
19,0.41141890441433765,0.8486657303370787,0.8479281179898968,0.6662055850028992,0.7613636363636364,0.761465421420022
