epoch,knn_val_accuracy,knn_val_balanced_accuracy,knn_val_macro_f1,linear_val_accuracy,linear_val_balanced_accuracy,linear_val_macro_f1,feature_embedding_std,feature_effective_rank,feature_effective_rank_fraction,feature_mean_pairwise_cosine,feature_near_constant_fraction
0.0,0.3481781376518219,0.34817813765182193,0.3420097755890386,0.1417004048582996,0.1417004048582996,0.13378139721703622,0.2610795497894287,1.7748241424560547,0.0023109689354896545,0.8815739154815674,0.0078125
10.0,0.4574898785425101,0.4574898785425101,0.45585002168926964,0.3360323886639676,0.33603238866396756,0.33129972126318424,0.5373414754867554,3.727407455444336,0.004853395279496908,0.8733555674552917,0.0
20.0,0.4574898785425101,0.45748987854251016,0.4528293103953013,0.2834008097165992,0.28340080971659914,0.27478924331642707,0.1379266083240509,4.532551288604736,0.00590175949037075,0.97454434633255,0.00911458395421505
30.0,0.41295546558704455,0.4129554655870446,0.41202968809404467,0.2834008097165992,0.2834008097165992,0.2729386759918205,0.10211224853992462,3.4955620765686035,0.004551513120532036,0.9823076725006104,0.0911458358168602
40.0,0.41700404858299595,0.41700404858299595,0.40947236012795657,0.29959514170040485,0.2995951417004049,0.285791276801405,0.07505777478218079,3.2848410606384277,0.004277137108147144,0.9878756403923035,0.2903645932674408
50.0,0.38461538461538464,0.3846153846153846,0.3668733597392486,0.26720647773279355,0.26720647773279355,0.250192107418027,0.05649608373641968,3.4783430099487305,0.004529092460870743,0.9916660189628601,0.5520833730697632
60.0,0.4048582995951417,0.4048582995951418,0.3972818532236815,0.2834008097165992,0.28340080971659926,0.2755867146012565,0.049671854823827744,3.401301860809326,0.004428778775036335,0.9925290942192078,0.6888021230697632
70.0,0.4291497975708502,0.42914979757085026,0.4184266221108327,0.291497975708502,0.291497975708502,0.267647088955475,0.04820602759718895,3.2600255012512207,0.00424482487142086,0.992859959602356,0.71484375
80.0,0.4331983805668016,0.43319838056680166,0.42932827298657444,0.30364372469635625,0.30364372469635625,0.2877183592812929,0.046771399676799774,3.0547661781311035,0.003977560438215733,0.9927863478660583,0.7421875
90.0,0.4331983805668016,0.43319838056680166,0.42745773401913484,0.3319838056680162,0.3319838056680162,0.31588528268975624,0.044515591114759445,3.0192813873291016,0.003931356128305197,0.9926571846008301,0.7864583730697632
100.0,0.44534412955465585,0.44534412955465585,0.43912979162067134,0.3319838056680162,0.33198380566801616,0.3119116904540087,0.04202602431178093,3.024352788925171,0.003937959671020508,0.99245285987854,0.8111979365348816
110.0,0.46963562753036436,0.46963562753036436,0.4610295816130112,0.30364372469635625,0.3036437246963563,0.29058863879709823,0.03993023931980133,3.0504493713378906,0.003971939440816641,0.9920586347579956,0.82421875
120.0,0.4331983805668016,0.43319838056680166,0.4250112328892018,0.31983805668016196,0.319838056680162,0.3096344570966831,0.03749717026948929,3.6938083171844482,0.004809646401554346,0.9918814301490784,0.8385416865348816
130.0,0.4574898785425101,0.45748987854251016,0.4551122025241315,0.32388663967611336,0.3238866396761134,0.3198113229782922,0.03562076762318611,3.0064358711242676,0.00391463004052639,0.9889011383056641,0.8619791865348816
140.0,0.4008097165991903,0.4008097165991903,0.4015328433254995,0.2874493927125506,0.2874493927125506,0.2806832803000059,0.03446105122566223,2.530064821243286,0.003294355235993862,0.9865740537643433,0.87109375
150.0,0.3805668016194332,0.3805668016194332,0.37894836554073824,0.291497975708502,0.291497975708502,0.27694453954203535,0.032893963158130646,2.291128396987915,0.0029832401778548956,0.9854272603988647,0.88671875
160.0,0.42105263157894735,0.42105263157894735,0.4185096600820164,0.3117408906882591,0.3117408906882591,0.30243954053620525,0.03241618350148201,2.06659197807312,0.002690874971449375,0.9834575057029724,0.88671875
170.0,0.4089068825910931,0.4089068825910931,0.4124186300994377,0.32793522267206476,0.3279352226720648,0.3237633889201633,0.031826600432395935,2.002629280090332,0.0026075902860611677,0.9829226136207581,0.8932291865348816
180.0,0.4008097165991903,0.4008097165991903,0.3996699122508436,0.291497975708502,0.291497975708502,0.29032993741711544,0.03292883560061455,1.900084137916565,0.0024740679655224085,0.9807618260383606,0.8841146230697632
190.0,0.38461538461538464,0.38461538461538464,0.38756070358108474,0.3319838056680162,0.3319838056680162,0.32375296770704337,0.032711371779441833,1.8609956502914429,0.0024231714196503162,0.9799648523330688,0.8919271230697632
200.0,0.3643724696356275,0.3643724696356275,0.37189919884756045,0.29554655870445345,0.29554655870445345,0.28985481392626505,0.032607533037662506,1.8011009693145752,0.0023451836314052343,0.9791401624679565,0.890625
210.0,0.38866396761133604,0.388663967611336,0.39589750842019444,0.31983805668016196,0.3198380566801619,0.3203540640193367,0.032768070697784424,1.7747132778167725,0.002310824580490589,0.9787188768386841,0.8893229365348816
220.0,0.38866396761133604,0.388663967611336,0.3917201581102857,0.3360323886639676,0.3360323886639676,0.33174424294550137,0.032846562564373016,1.751438856124878,0.0022805193439126015,0.9782194495201111,0.88671875
230.0,0.4048582995951417,0.4048582995951417,0.40986325754777747,0.2793522267206478,0.2793522267206478,0.2731708673173255,0.03264942392706871,1.7155643701553345,0.0022338079288601875,0.9777265787124634,0.8893229365348816
240.0,0.4008097165991903,0.40080971659919024,0.4040723863876705,0.30364372469635625,0.3036437246963563,0.29058624290336105,0.03243980556726456,1.691101312637329,0.002201954834163189,0.9776474237442017,0.8893229365348816
250.0,0.3967611336032389,0.39676113360323884,0.39326439585776674,0.2874493927125506,0.28744939271255066,0.2793676394079079,0.032792627811431885,1.6451430320739746,0.0021421134006232023,0.9761025309562683,0.8854166865348816
260.0,0.3967611336032389,0.39676113360323884,0.39592669322968294,0.3076923076923077,0.3076923076923077,0.29896202379178,0.03275291621685028,1.6264798641204834,0.0021178124006837606,0.9758471250534058,0.88671875
270.0,0.4008097165991903,0.4008097165991903,0.3971268439147513,0.291497975708502,0.29149797570850206,0.28429308208343,0.032679181545972824,1.6229619979858398,0.002113231923431158,0.9760591387748718,0.890625
280.0,0.41700404858299595,0.41700404858299595,0.41346689560777555,0.2793522267206478,0.2793522267206478,0.2749862483025507,0.03296726569533348,1.6087205410003662,0.0020946883596479893,0.9754375219345093,0.8854166865348816
290.0,0.4089068825910931,0.4089068825910931,0.4022064007954352,0.29959514170040485,0.2995951417004048,0.2931647952155355,0.03284049779176712,1.60557222366333,0.0020905889105051756,0.9756281971931458,0.88671875
