epoch,knn_val_accuracy,knn_val_balanced_accuracy,knn_val_macro_f1,linear_val_accuracy,linear_val_balanced_accuracy,linear_val_macro_f1,feature_embedding_std,feature_effective_rank,feature_effective_rank_fraction,feature_mean_pairwise_cosine,feature_near_constant_fraction
0.0,0.3157894736842105,0.31578947368421056,0.31294360163950097,0.2631578947368421,0.2631578947368421,0.2553652077874071,0.3735973834991455,2.6139936447143555,0.003403637558221817,0.7402160167694092,0.0
10.0,0.3643724696356275,0.3643724696356275,0.36609301062444427,0.3724696356275304,0.3724696356275304,0.36649897362633094,0.6538917422294617,3.3403067588806152,0.0043493579141795635,0.44180694222450256,0.0
20.0,0.4251012145748988,0.42510121457489874,0.42623407230417176,0.41700404858299595,0.417004048582996,0.41439095913887375,0.6777259111404419,4.7951154708862305,0.006243640091270208,0.38588184118270874,0.0
30.0,0.46558704453441296,0.46558704453441296,0.45902829572433446,0.5182186234817814,0.5182186234817813,0.5164106443661404,0.6474339365959167,5.553956985473633,0.007231715135276318,0.43170881271362305,0.0
40.0,0.5506072874493927,0.5506072874493927,0.5397109226613375,0.6032388663967612,0.6032388663967613,0.5985990433051114,0.6740618944168091,6.510422229766846,0.008477112278342247,0.3655005097389221,0.0
50.0,0.611336032388664,0.6113360323886641,0.6045616944877066,0.5708502024291497,0.5708502024291497,0.5682688450468376,0.6555815935134888,8.022069931030273,0.01044540386646986,0.3862588703632355,0.0
60.0,0.6396761133603239,0.6396761133603238,0.6333131670846331,0.6275303643724697,0.6275303643724696,0.6274934210340192,0.6616097688674927,10.37844181060791,0.0135135967284441,0.361564576625824,0.0
70.0,0.659919028340081,0.659919028340081,0.6516950819771336,0.6275303643724697,0.6275303643724697,0.6266787660666951,0.676944375038147,13.580153465270996,0.01768249273300171,0.3190842270851135,0.0
80.0,0.6963562753036437,0.6963562753036439,0.6926854249336025,0.6720647773279352,0.6720647773279352,0.6693861076244757,0.687139630317688,17.738386154174805,0.023096857592463493,0.29541873931884766,0.0
90.0,0.7206477732793523,0.7206477732793524,0.7183352042380763,0.728744939271255,0.728744939271255,0.7268728717743066,0.6856226921081543,21.699424743652344,0.02825446054339409,0.28501033782958984,0.0
100.0,0.7408906882591093,0.7408906882591093,0.7413602554206594,0.6558704453441295,0.6558704453441295,0.6552228114669983,0.6986345052719116,25.953664779663086,0.03379383683204651,0.24578964710235596,0.0
110.0,0.7813765182186235,0.7813765182186235,0.7816037527436922,0.7125506072874493,0.7125506072874495,0.7144744540933289,0.7024661302566528,31.914199829101562,0.041554950177669525,0.22839617729187012,0.0
120.0,0.8218623481781376,0.8218623481781377,0.8215492272652657,0.7165991902834008,0.7165991902834009,0.7120488831873272,0.7070379257202148,37.067543029785156,0.04826503247022629,0.20683936774730682,0.0
130.0,0.8178137651821862,0.8178137651821863,0.8182985769129031,0.7368421052631579,0.7368421052631579,0.7379615619511461,0.706072986125946,43.714107513427734,0.056919410824775696,0.19410556554794312,0.0
140.0,0.8340080971659919,0.834008097165992,0.8335022969087515,0.7449392712550608,0.7449392712550608,0.7458571568916397,0.7052736282348633,50.10914611816406,0.06524628400802612,0.1796184629201889,0.0
150.0,0.8340080971659919,0.8340080971659919,0.8340076455017033,0.757085020242915,0.757085020242915,0.7566345944693614,0.6988153457641602,56.90427017211914,0.07409410178661346,0.1729108989238739,0.0
