epoch,prediction,learning_rate,weight_decay,ema_momentum,seconds,samples,samples_per_second,mean_context_tokens,mean_tokens_per_target,peak_gpu_memory_gib
1,0.4728024119539301,3.3333333333333337e-06,0.0400095547404416,0.9960001061637827,2.8670966820000103,7901,2755.7494135455777,17.069231742817365,11.07657258574864,4.218265533447266
2,0.34170711260402586,6.6666666666666675e-06,0.040038847016218126,0.9960004316335135,2.5577706740000394,7901,3089.0181361113996,18.65105682824959,10.8821668143273,4.218387603759766
3,0.26470286715122704,1e-05,0.04008787618256704,0.9960009764020286,2.5073705849999897,7901,3151.109790976523,17.017719276041007,10.911656752309835,4.46234130859375
4,0.2033634316244543,1.3333333333333335e-05,0.040156636862309636,0.9960017404095812,2.5510038419997727,7901,3097.212113097517,18.44171623845083,10.879255790406278,4.46612548828125
5,0.1517613679840133,1.6666666666666667e-05,0.040245121514251525,0.9960027235723806,2.5464940679999017,7901,3102.6971942666646,18.089862042779394,10.979369700037969,4.215641021728516
6,0.117414769832431,2e-05,0.04035332043401019,0.9960039257826001,2.567717731000357,7901,3077.0516184899534,19.494747500316414,10.782052904695608,4.215030670166016
7,0.10050544503794759,2.3333333333333332e-05,0.04048122175507879,0.9960053469083897,2.5286881460001496,7901,3124.54503830285,17.566890267054802,10.976458676116946,4.4696044921875
8,0.09185304213963555,2.666666666666667e-05,0.040628811450127866,0.9960069867938903,2.5256522639997456,7901,3128.300800794957,17.377040880901152,10.914567776230857,4.4603271484375
9,0.08532618096249418,3e-05,0.040796073332543814,0.9960088452592505,2.538263778000328,7901,3112.757652880543,19.013289457030755,10.736362485761296,4.216861724853516
10,0.08160580939947691,3.3333333333333335e-05,0.04098298905820391,0.9960109221006467,2.53940003300022,7901,3111.364848910875,17.53322364257689,10.8821668143273,4.215396881103516
11,0.07811380695156049,3.6666666666666666e-05,0.04118953812748827,0.9960132170903054,2.5877550909999627,7901,3053.225565077292,19.645108214150106,10.78496392861663,4.216861724853516
12,0.0776943295068144,4e-05,0.04141569788752825,0.9960157299765281,2.5497243949998847,7901,3098.7662884248152,18.182508543222376,10.846854828502721,4.216861724853516
13,0.07569691596333249,4.3333333333333334e-05,0.04166144353469042,0.9960184604837188,2.52708101799999,7901,3126.5321308349253,19.547905328439438,10.541956714339957,4.216861724853516
14,0.0768688601861195,4.6666666666666665e-05,0.04192674811729752,0.9960214083124144,2.519168996999724,7901,3136.3517133665587,18.332869257056068,10.833565371471966,4.215152740478516
15,0.07626085609872799,5e-05,0.04221158253858376,0.9960245731393176,2.541719813000327,7901,3108.5251645709163,18.71712441463106,10.701050499936716,4.215641021728516
16,0.0780842440265777,5.333333333333334e-05,0.04251591555988615,0.9960279546173321,2.5473876029996063,7901,3101.608875970188,18.68927983799519,10.865966333375521,4.452045440673828
17,0.07888173737804009,5.666666666666667e-05,0.042839713804070534,0.9960315523756008,2.5329024319999007,7901,3119.346367306228,19.574231109986076,10.397671180863181,4.46966552734375
18,0.08096065434088905,6e-05,0.043182941759192184,0.9960353660195466,2.568574627000089,7901,3076.025090704801,18.624477914188077,10.833565371471966,4.216861724853516
