epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,1.7890981112772029,0.48927875243664715,0.48702119455269094,1.1636890172958374,0.6923076923076923,0.6875978731002466
2,0.9376686182867946,0.7426900584795322,0.7411653772505491,1.2659640312194824,0.6842105263157895,0.684355444140524
3,0.8365759045524671,0.7782651072124757,0.7771540138417434,1.1223548650741577,0.7368421052631579,0.7352190679615572
4,0.687400468841166,0.8192007797270955,0.8188025370323847,0.9996517896652222,0.728744939271255,0.7253640733132566
5,0.6538013760109394,0.830896686159844,0.8322205073818263,0.9203686714172363,0.7692307692307693,0.7692554876413328
6,0.513723658713681,0.8538011695906432,0.8545576903518715,0.8123754858970642,0.8178137651821862,0.8159023096151243
7,0.4238558646298756,0.8859649122807017,0.886251468340964,0.8926968574523926,0.805668016194332,0.8046292614182184
8,0.466106819159571,0.8776803118908382,0.878824959680978,0.9183928966522217,0.7854251012145749,0.7876768624760417
9,0.4282971370173709,0.8840155945419104,0.8851941047305593,0.8751971125602722,0.8016194331983806,0.8004069661601422
10,0.3745682309681212,0.898635477582846,0.9001789216178951,0.9578149914741516,0.7651821862348178,0.7640418777600441
11,0.29257193480783505,0.9230019493177388,0.9239333416877648,0.8284646272659302,0.8016194331983806,0.8003619079220752
12,0.3396377765499128,0.9186159844054581,0.9199985265806605,0.9865634441375732,0.7773279352226721,0.77797619972401
13,0.2522677344653109,0.9400584795321637,0.940760318795685,0.9622484445571899,0.7773279352226721,0.7746814729352408
14,0.3375972921472836,0.9283625730994152,0.9296296271271708,1.058714509010315,0.7854251012145749,0.7847757285976208
