lr,weight_decay,epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
0.001,0.0,1,2.7100835868954425,0.1915204678362573,0.18387465462442043,2.133849620819092,0.44534412955465585,0.4387649931952338
0.001,0.0,2,1.8606997251975375,0.5233918128654971,0.5189434000794086,1.6904442310333252,0.5668016194331984,0.5628791488274566
0.001,0.0,3,1.4772442023888899,0.6096491228070176,0.6074599398768842,1.471491813659668,0.6032388663967612,0.5949958167098517
0.001,0.0,4,1.2656841391940796,0.665692007797271,0.6632809445317625,1.3289597034454346,0.6396761133603239,0.6356791544521364
0.001,0.0,5,1.132843940578706,0.7080896686159844,0.7063072561719651,1.2239696979522705,0.6842105263157895,0.6835504249720294
0.001,0.0,6,1.038658680390661,0.7387914230019493,0.7364990137319128,1.1412256956100464,0.6923076923076923,0.6882502037241288
0.001,0.0,7,0.9656109001204284,0.7563352826510721,0.7537922536445538,1.0917235612869263,0.7165991902834008,0.7123608536181876
0.001,0.0,8,0.9061852033607676,0.7714424951267057,0.7694145138361664,1.055983066558838,0.708502024291498,0.7056418260773977
0.001,0.0,9,0.8582317410853871,0.7807017543859649,0.7794140665551248,1.0263431072235107,0.728744939271255,0.7289732295270239
0.001,0.0,10,0.8193051288699547,0.7870370370370371,0.7859025823745673,1.009186863899231,0.7368421052631579,0.737105408275626
0.001,0.0,11,0.784857064195079,0.7923976608187134,0.7914026751416128,0.9961115121841431,0.7449392712550608,0.7437471764188012
0.001,0.0,12,0.7476570478424459,0.8050682261208577,0.8036430833582753,0.9724543690681458,0.7489878542510121,0.7471680929616648
0.001,0.0,13,0.7160735446342483,0.8187134502923976,0.81795073490701,0.9643370509147644,0.7408906882591093,0.73932483994029
0.001,0.0,14,0.6951203361356932,0.827485380116959,0.8273231637899706,0.9493931531906128,0.7449392712550608,0.7448975146088898
0.001,0.0,15,0.6761679303111621,0.8299220272904484,0.8300555988415816,0.9322524070739746,0.7489878542510121,0.7488438841250187
0.001,0.0,16,0.6583161841765715,0.8367446393762183,0.8368074122975792,0.9016454815864563,0.7368421052631579,0.7360507884171923
0.001,0.0,17,0.6383127847261596,0.8430799220272904,0.8426910550961371,0.8760946989059448,0.7611336032388664,0.760555219366459
0.001,0.0,18,0.6147666708883951,0.8499025341130604,0.8491433870399409,0.8562310934066772,0.7773279352226721,0.7745271198636622
0.001,0.0,19,0.5918107237267448,0.8557504873294347,0.8549481668349239,0.84566730260849,0.7651821862348178,0.7623313280338058
0.001,0.0,20,0.5757181862873874,0.8630604288499025,0.8625100322662854,0.8489207029342651,0.7611336032388664,0.7569202550826872
0.001,0.0,21,0.568290348638568,0.8625730994152047,0.8619657716727493,0.8582338690757751,0.7611336032388664,0.7559379100417134
0.001,0.0,22,0.5631766760209848,0.8586744639376218,0.8576985663437483,0.8487395644187927,0.7530364372469636,0.7490910664498214
0.001,0.0,23,0.5440816358748467,0.8654970760233918,0.8645714697087102,0.827321469783783,0.7489878542510121,0.7458118547966919
0.001,0.0,24,0.5241695219545569,0.8796296296296297,0.8790708115769786,0.8028724789619446,0.7692307692307693,0.770229918336154
0.001,0.0,25,0.5139688477646305,0.8835282651072125,0.8833483944384016,0.807994544506073,0.7611336032388664,0.7617415254912551
0.001,0.0,26,0.5042360707333213,0.8874269005847953,0.8870784984359821,0.7888614535331726,0.7611336032388664,0.7617368740920717
0.001,0.0001,1,2.7100835868954425,0.1915204678362573,0.18387465462442043,2.133849620819092,0.44534412955465585,0.4387649931952338
0.001,0.0001,2,1.8607000244988336,0.5233918128654971,0.5189434000794086,1.6904445886611938,0.5668016194331984,0.5628791488274566
0.001,0.0001,3,1.4772447517276042,0.6096491228070176,0.6074599398768842,1.4714924097061157,0.6032388663967612,0.5949958167098517
0.001,0.0001,4,1.2656849594841226,0.665692007797271,0.6632809445317625,1.3289604187011719,0.6396761133603239,0.6356791544521364
0.001,0.0001,5,1.1328450764364202,0.7080896686159844,0.7063072561719651,1.223970890045166,0.6842105263157895,0.6835504249720294
0.001,0.0001,6,1.0386600910339208,0.7387914230019493,0.7364990137319128,1.141227126121521,0.6923076923076923,0.6882502037241288
0.001,0.0001,7,0.9656125420947753,0.7563352826510721,0.7537922536445538,1.0917251110076904,0.7165991902834008,0.7123608536181876
0.001,0.0001,8,0.9061871054809228,0.7714424951267057,0.7694145138361664,1.0559848546981812,0.708502024291498,0.7056418260773977
0.001,0.0001,9,0.8582338754661367,0.7807017543859649,0.7794140665551248,1.0263450145721436,0.728744939271255,0.7289732295270239
0.001,0.0001,10,0.8193075329239605,0.7870370370370371,0.7859025823745673,1.0091888904571533,0.7368421052631579,0.737105408275626
0.001,0.0001,11,0.7848596749482332,0.7923976608187134,0.7914026751416128,0.996113657951355,0.7449392712550608,0.7437471764188012
0.001,0.0001,12,0.7476598895781221,0.8050682261208577,0.8036430833582753,0.9724565744400024,0.7489878542510121,0.7471680929616648
0.001,0.0001,13,0.7160766161905627,0.8187134502923976,0.81795073490701,0.964339554309845,0.7408906882591093,0.73932483994029
0.001,0.0001,14,0.6951236516876295,0.827485380116959,0.8273231637899706,0.9493956565856934,0.7449392712550608,0.7448975146088898
0.001,0.0001,15,0.6761714905558506,0.8299220272904484,0.8300555988415816,0.9322549700737,0.7489878542510121,0.7488438841250187
0.001,0.0001,16,0.658319997072917,0.8367446393762183,0.8368074122975792,0.9016482830047607,0.7368421052631579,0.7360507884171923
0.001,0.0001,17,0.6383167586305685,0.8430799220272904,0.8426910550961371,0.8760976195335388,0.7611336032388664,0.760555219366459
0.001,0.0001,18,0.6147708322337264,0.8499025341130604,0.8491433870399409,0.8562340140342712,0.7773279352226721,0.7745271198636622
0.001,0.0001,19,0.5918150615041484,0.8557504873294347,0.8549481668349239,0.8456705212593079,0.7651821862348178,0.7623313280338058
0.001,0.0001,20,0.575722672553555,0.8630604288499025,0.8625100322662854,0.8489238619804382,0.7611336032388664,0.7569202550826872
0.001,0.0001,21,0.5682950566502807,0.8625730994152047,0.8619657716727493,0.858237087726593,0.7611336032388664,0.7559379100417134
0.001,0.0001,22,0.563181514962491,0.8586744639376218,0.8576985663437483,0.8487427830696106,0.7530364372469636,0.7490910664498214
0.001,0.0001,23,0.544086604090462,0.8654970760233918,0.8645714697087102,0.8273247480392456,0.7489878542510121,0.7458118547966919
0.001,0.0001,24,0.5241746681707876,0.8796296296296297,0.8790708115769786,0.8028760552406311,0.7692307692307693,0.770229918336154
0.001,0.0001,25,0.5139742863108541,0.8835282651072125,0.8833483944384016,0.8079984188079834,0.7611336032388664,0.7617415254912551
0.001,0.0001,26,0.5042417734919468,0.8874269005847953,0.8870784984359821,0.7888652682304382,0.7611336032388664,0.7617368740920717
0.003,0.0,1,2.198226257606789,0.36988304093567254,0.3650724462508994,1.3717937469482422,0.6153846153846154,0.6093755035444975
0.003,0.0,2,1.1096918013593142,0.6807992202729045,0.6793607463303771,1.1358768939971924,0.6680161943319838,0.6600502421555053
0.003,0.0,3,0.891255302271183,0.7402534113060428,0.7372769377605874,1.0623908042907715,0.7004048582995951,0.6999121741972558
0.003,0.0,4,0.7687995329237821,0.7860623781676414,0.7852770810440581,0.9598791599273682,0.7246963562753036,0.7225714838448859
0.003,0.0,5,0.6912665826070611,0.8118908382066277,0.8129101225946272,0.8673743009567261,0.7449392712550608,0.7448721942491102
0.003,0.0,6,0.6244580210068538,0.8250487329434698,0.8259249688728797,0.8067425489425659,0.7692307692307693,0.7685251908044333
0.003,0.0,7,0.5627760224872165,0.8469785575048733,0.8472735075146312,0.7881762385368347,0.7651821862348178,0.7661333349134186
0.003,0.0,8,0.5211846316069887,0.8635477582846004,0.8637221383151737,0.7786359190940857,0.7813765182186235,0.7818407551822764
0.003,0.0,9,0.49402614109232645,0.8640350877192983,0.8648305910236758,0.7768406271934509,0.7975708502024291,0.7972956676008123
0.003,0.0,10,0.4707682861512632,0.8723196881091618,0.8726616326261262,0.8059601187705994,0.7611336032388664,0.761070638127373
0.003,0.0,11,0.4427694551661233,0.884990253411306,0.8855078106202248,0.7936062812805176,0.7692307692307693,0.7652242529806719
0.003,0.0,12,0.4063293820003785,0.8991228070175439,0.8991889697870703,0.7993226051330566,0.7732793522267206,0.7693679737630054
0.003,0.0,13,0.4042846484955756,0.8923001949317739,0.8928841205656821,0.7941421270370483,0.7773279352226721,0.7793727839082135
0.003,0.0,14,0.39895146747517307,0.9000974658869396,0.9007008389754094,0.7958456873893738,0.7692307692307693,0.7728497293028186
0.003,0.0,15,0.38965399107273097,0.9049707602339181,0.9057928197717047,0.7333242297172546,0.7935222672064778,0.7910421889423102
0.003,0.0,16,0.35627933545128876,0.9117933723196882,0.9118217788136924,0.7116914391517639,0.7894736842105263,0.7861895903267324
0.003,0.0,17,0.3319757915234473,0.9176413255360624,0.9174986954782522,0.6867820620536804,0.7854251012145749,0.7843076792804561
0.003,0.0001,1,2.198226318489506,0.36988304093567254,0.3650724462508994,1.3717941045761108,0.6153846153846154,0.6093755035444975
0.003,0.0001,2,1.109692309218773,0.6807992202729045,0.6793607463303771,1.135877251625061,0.6680161943319838,0.6600502421555053
0.003,0.0001,3,0.8912561488198025,0.7402534113060428,0.7372769377605874,1.0623910427093506,0.7004048582995951,0.6999121741972558
0.003,0.0001,4,0.7688008309804906,0.7860623781676414,0.7852770810440581,0.9598793983459473,0.7246963562753036,0.7225714838448859
0.003,0.0001,5,0.6912684532401622,0.8118908382066277,0.8129101225946272,0.8673748970031738,0.7449392712550608,0.7448721942491102
0.003,0.0001,6,0.6244606619689896,0.8250487329434698,0.8259249688728797,0.8067435026168823,0.7692307692307693,0.7685251908044333
0.003,0.0001,7,0.5627793231670387,0.8469785575048733,0.8472735075146312,0.7881777286529541,0.7651821862348178,0.7661333349134186
0.003,0.0001,8,0.5211884802893588,0.8635477582846004,0.8637221383151737,0.7786375880241394,0.7813765182186235,0.7818407551822764
0.003,0.0001,9,0.49403043959805376,0.8640350877192983,0.8648305910236758,0.7768422365188599,0.7975708502024291,0.7972956676008123
0.003,0.0001,10,0.47077291835005053,0.8723196881091618,0.8726616326261262,0.8059619665145874,0.7611336032388664,0.761070638127373
0.003,0.0001,11,0.4427742576970924,0.884990253411306,0.8855078106202248,0.7936075329780579,0.7692307692307693,0.7652242529806719
0.003,0.0001,12,0.4063346110589323,0.8991228070175439,0.8991889697870703,0.7993237376213074,0.7732793522267206,0.7693679737630054
0.003,0.0001,13,0.40429021740517423,0.8923001949317739,0.8928841205656821,0.7941437363624573,0.7773279352226721,0.7793727839082135
0.003,0.0001,14,0.39895810358240824,0.9000974658869396,0.9007008389754094,0.7958469986915588,0.7692307692307693,0.7728497293028186
0.003,0.0001,15,0.3896610750789531,0.9049707602339181,0.9057928197717047,0.7333246469497681,0.7935222672064778,0.7910421889423102
0.003,0.0001,16,0.3562871889441799,0.9117933723196882,0.9118217788136924,0.7116929292678833,0.7894736842105263,0.7861895903267324
0.003,0.0001,17,0.3319842106940454,0.9176413255360624,0.9174986954782522,0.6867824196815491,0.7854251012145749,0.7843076792804561
0.01,0.0,1,1.7890981112772029,0.48927875243664715,0.48702119455269094,1.1636890172958374,0.6923076923076923,0.6875978731002466
0.01,0.0,2,0.9376686182867946,0.7426900584795322,0.7411653772505491,1.2659640312194824,0.6842105263157895,0.684355444140524
0.01,0.0,3,0.8365759045524671,0.7782651072124757,0.7771540138417434,1.1223548650741577,0.7368421052631579,0.7352190679615572
0.01,0.0,4,0.687400468841166,0.8192007797270955,0.8188025370323847,0.9996517896652222,0.728744939271255,0.7253640733132566
0.01,0.0,5,0.6538013760109394,0.830896686159844,0.8322205073818263,0.9203686714172363,0.7692307692307693,0.7692554876413328
0.01,0.0,6,0.513723658713681,0.8538011695906432,0.8545576903518715,0.8123754858970642,0.8178137651821862,0.8159023096151243
0.01,0.0,7,0.4238558646298756,0.8859649122807017,0.886251468340964,0.8926968574523926,0.805668016194332,0.8046292614182184
0.01,0.0,8,0.466106819159571,0.8776803118908382,0.878824959680978,0.9183928966522217,0.7854251012145749,0.7876768624760417
0.01,0.0,9,0.4282971370173709,0.8840155945419104,0.8851941047305593,0.8751971125602722,0.8016194331983806,0.8004069661601422
0.01,0.0,10,0.3745682309681212,0.898635477582846,0.9001789216178951,0.9578149914741516,0.7651821862348178,0.7640418777600441
0.01,0.0,11,0.29257193480783505,0.9230019493177388,0.9239333416877648,0.8284646272659302,0.8016194331983806,0.8003619079220752
0.01,0.0,12,0.3396377765499128,0.9186159844054581,0.9199985265806605,0.9865634441375732,0.7773279352226721,0.77797619972401
0.01,0.0,13,0.2522677344653109,0.9400584795321637,0.940760318795685,0.9622484445571899,0.7773279352226721,0.7746814729352408
0.01,0.0,14,0.3375972921472836,0.9283625730994152,0.9296296271271708,1.058714509010315,0.7854251012145749,0.7847757285976208
0.01,0.0001,1,1.7890971032267193,0.48927875243664715,0.48702119455269094,1.1636868715286255,0.6923076923076923,0.6875978731002466
0.01,0.0001,2,0.937667398541062,0.7426900584795322,0.7411653772505491,1.265958547592163,0.6842105263157895,0.684355444140524
0.01,0.0001,3,0.8365732265262343,0.7782651072124757,0.7771540138417434,1.1223421096801758,0.7368421052631579,0.7352190679615572
0.01,0.0001,4,0.6873990903820908,0.8192007797270955,0.8188025370323847,0.9996396899223328,0.728744939271255,0.7253640733132566
0.01,0.0001,5,0.653802170332877,0.830896686159844,0.8322205073818263,0.920355498790741,0.7692307692307693,0.7692554876413328
0.01,0.0001,6,0.5137218995633414,0.8538011695906432,0.8545576903518715,0.8123654127120972,0.8178137651821862,0.8159023096151243
0.01,0.0001,7,0.423858486420927,0.8859649122807017,0.886251468340964,0.8926839828491211,0.805668016194332,0.8046292614182184
0.01,0.0001,8,0.4661120694225062,0.8776803118908382,0.878824959680978,0.9183722138404846,0.7854251012145749,0.7876768624760417
0.01,0.0001,9,0.4283015336441947,0.8840155945419104,0.8851941047305593,0.875180184841156,0.8016194331983806,0.8004069661601422
0.01,0.0001,10,0.3745758062333856,0.898635477582846,0.9001789216178951,0.9577926397323608,0.7651821862348178,0.7640418777600441
0.01,0.0001,11,0.2925773737026237,0.9230019493177388,0.9239333416877648,0.8284367322921753,0.8016194331983806,0.8003619079220752
0.01,0.0001,12,0.3396457795191694,0.9186159844054581,0.9199985265806605,0.9865273833274841,0.7773279352226721,0.77797619972401
