encoder,selected_ssl_epoch,validation_monitor_macro_f1,final_probe_validation_macro_f1,test_accuracy,test_macro_f1,test_correct,test_samples,monitor_minus_b0_pp,probe_val_minus_b0_pp,test_accuracy_minus_b0_pp,test_macro_f1_minus_b0_pp
B0-original,10,0.3302503885148712,0.34656928518792945,0.2834008097165992,0.2665137806408322,70,247,0.0,0.0,0.0,0.0
B0-LN,20,0.3246965590704247,0.34887676774493553,0.32388663967611336,0.30660450476187884,80,247,-0.555382944444649,0.23074825570060797,4.048582995951416,4.009072412104664
I-JEPA,210,0.8188010134652602,0.8159023096151243,0.7246963562753036,0.7256896059434194,179,247,48.8550624950389,46.93330244271949,44.12955465587044,45.91758253025871
