epoch,b0_total,b0_ln_total,total_difference,b0_prediction,b0_ln_prediction,prediction_difference,b0_regularizer,b0_ln_regularizer,regularizer_difference,b0_embedding_std,b0_ln_embedding_std,embedding_std_difference,b0_linear_val_macro_f1,b0_ln_linear_val_macro_f1,linear_val_macro_f1_difference,b0_knn_val_macro_f1,b0_ln_knn_val_macro_f1,knn_val_macro_f1_difference,b0_feature_effective_rank,b0_ln_feature_effective_rank,feature_effective_rank_difference,b0_feature_effective_rank_fraction,b0_ln_feature_effective_rank_fraction,feature_effective_rank_fraction_difference,b0_feature_mean_pairwise_cosine,b0_ln_feature_mean_pairwise_cosine,feature_mean_pairwise_cosine_difference
0,,,,,,,,,,,,,0.26338302158313204,0.26338302158313204,0.0,0.31294360163950097,0.31294360163950097,0.0,2.61398983001709,2.61398983001709,0.0,0.0034036326687783003,0.0034036326687783003,0.0,0.7439497709274292,0.7439497709274292,0.0
10,0.12979298815321672,0.12966597656021692,-0.00012701159299979836,0.06954905954082923,0.06943404613707038,-0.00011501340375884295,0.6024392664832354,0.6023192910088299,-0.00011997547440556477,0.5172485595427802,0.5174688425204103,0.00022028297763010407,0.3302503885148712,0.310194360619248,-0.02005602789562322,0.37752900937111467,0.3842929320142751,0.006763922643160447,34.32063674926758,34.400264739990234,0.07962799072265625,0.044688329100608826,0.04479201138019562,0.00010368227958679199,0.48313429951667786,0.48481565713882446,0.0016813576221466064
20,0.1476384714753126,0.14697777686685176,-0.0006606946084608267,0.1004911611386378,0.09974745204046306,-0.0007437090981747413,0.4714730832866741,0.47230323505256766,0.000830151765893572,0.6957896026293396,0.6948110599968045,-0.000978542632535162,0.32241380700734507,0.3246965590704247,0.0022827520630796516,0.36756678549403005,0.3451430836083613,-0.022423701885668723,75.08717346191406,75.01484680175781,-0.07232666015625,0.09776975959539413,0.09767558425664902,-9.417533874511719e-05,0.3228065073490143,0.31523066759109497,-0.0075758397579193115
30,0.1105176454374359,0.11053338587480231,1.574043736640718e-05,0.06853841454612954,0.06841635356547938,-0.00012206098065015158,0.4197922928048725,0.4211703060194143,0.0013780132145417845,0.7605618877043349,0.7592897604513947,-0.001272127252940125,0.3058532673550822,0.3051472002736502,-0.0007060670814320047,0.3286322429397736,0.32795728656760537,-0.000674956372168245,106.54386138916016,106.043701171875,-0.5001602172851562,0.13872899115085602,0.1380777359008789,-0.0006512552499771118,0.1880897581577301,0.19453807175159454,0.006448313593864441
40,0.09752968830381703,0.09408527218892655,-0.003444416114890478,0.05862368482880888,0.05516512666372404,-0.003458558165084835,0.3890600259387633,0.38920144605690915,0.00014142011814582967,0.7960030144414575,0.7953468979559221,-0.0006561164855354296,0.3045827920684168,0.29001850658759043,-0.014564285480826389,0.3394514242599626,0.3332480225233968,-0.006203401736565806,133.76522827148438,133.39076232910156,-0.3744659423828125,0.1741734743118286,0.17368589341640472,-0.00048758089542388916,0.1326334923505783,0.1309187114238739,-0.0017147809267044067
50,0.09606768746471694,0.09280245140555116,-0.003265236059165788,0.05913945522271082,0.05589522820670021,-0.003244227016010612,0.3692823211696537,0.36907222690861097,-0.00021009426104273698,0.8189331176627694,0.8198645553955805,0.0009314377328110135,0.2588291704224024,0.25709618206185714,-0.0017329883605452512,0.3107208757334246,0.2857780520706217,-0.024942823662802927,155.5332794189453,155.81781005859375,0.2845306396484375,0.2025173008441925,0.20288777351379395,0.00037047266960144043,0.10322830826044083,0.11159756779670715,0.008369259536266327
60,0.09716486014070247,0.0942227851277423,-0.002942075012960163,0.06161774091640389,0.058746809670988054,-0.0028709312454158337,0.35547118413419665,0.3547597434298628,-0.0007114407043338766,0.8355246068042919,0.8370172796091269,0.0014926728048350046,0.27692323592525314,0.2560263735721185,-0.02089686235313465,0.27769170715989216,0.28209212860253213,0.004400421442639968,174.687255859375,174.35488891601562,-0.332366943359375,0.22745737433433533,0.2270245999097824,-0.0004327744245529175,0.09950277954339981,0.0983773022890091,-0.0011254772543907166
70,0.10353015257789883,0.09890470769854681,-0.004625444879352014,0.06894079280750554,0.06435819610495037,-0.004582596702555161,0.3458935926570393,0.34546511137188274,-0.0004284812851565456,0.8453894373571219,0.8474008894588295,0.0020114521017076115,0.2415407772774257,0.2506025934062171,0.009061816128791395,0.25899474902797576,0.27374640804579725,0.014751659017821495,191.6922607421875,192.8955535888672,1.2032928466796875,0.24959930777549744,0.25116610527038574,0.0015667974948883057,0.08979951590299606,0.08907824009656906,-0.000721275806427002
80,0.10884103508459407,0.0996765841150824,-0.00916445096951167,0.07493575319502568,0.06593770888459455,-0.008998044310431136,0.3390528083171985,0.33738874802558033,-0.0016640602916181413,0.8519719284164077,0.8551560735690444,0.0031841451526367637,0.21966197753065736,0.20520401966012367,-0.014457957870533694,0.24154418036711325,0.2651370694479143,0.023592889080801066,206.8338623046875,208.70680236816406,1.8729400634765625,0.2693149447441101,0.2717536687850952,0.0024387240409851074,0.09069584310054779,0.0871855616569519,-0.0035102814435958862
90,0.11551719371721181,0.10545119281479594,-0.01006600090241587,0.08206281657008306,0.07225114762605768,-0.009811668944025381,0.3345437644931459,0.3320004415503032,-0.002543322942842652,0.8561028042423199,0.8604698574870406,0.004367053244720753,0.1933747246092835,0.20421497023978674,0.010840245630503231,0.219770546495118,0.2548564543655171,0.03508590787039911,218.77606201171875,221.19583129882812,2.419769287109375,0.2848646640777588,0.2880154252052307,0.003150761127471924,0.08711011707782745,0.08798690885305405,0.000876791775226593
100,0.12123780530768849,0.10944849580673459,-0.011789309500953901,0.08818136292244871,0.07668735042691548,-0.011494012495533237,0.33056441450357404,0.3276114491454681,-0.0029529653581059634,0.8592319017632855,0.864694672948936,0.005462771185650528,0.19982965417016385,0.1942389486355649,-0.00559070553459895,0.19791572367668178,0.2030111482793183,0.005095424602636511,229.75885009765625,232.27072143554688,2.511871337890625,0.29916518926620483,0.30243584513664246,0.003270655870437622,0.09775090962648392,0.09014051407575607,-0.007610395550727844
