epoch,total,prediction,regularizer,embedding_std,linear_val_macro_f1,knn_val_macro_f1,feature_effective_rank,feature_effective_rank_fraction,feature_mean_pairwise_cosine
0,,,,,0.26338302158313204,0.31294360163950097,2.61398983001709,0.0034036326687783003,0.7439497709274292
10,0.12966597656021692,0.06943404613707038,0.6023192910088299,0.5174688425204103,0.310194360619248,0.3842929320142751,34.400264739990234,0.04479201138019562,0.48481565713882446
20,0.14697777686685176,0.09974745204046306,0.47230323505256766,0.6948110599968045,0.3246965590704247,0.3451430836083613,75.01484680175781,0.09767558425664902,0.31523066759109497
30,0.11053338587480231,0.06841635356547938,0.4211703060194143,0.7592897604513947,0.3051472002736502,0.32795728656760537,106.043701171875,0.1380777359008789,0.19453807175159454
40,0.09408527218892655,0.05516512666372404,0.38920144605690915,0.7953468979559221,0.29001850658759043,0.3332480225233968,133.39076232910156,0.17368589341640472,0.1309187114238739
50,0.09280245140555116,0.05589522820670021,0.36907222690861097,0.8198645553955805,0.25709618206185714,0.2857780520706217,155.81781005859375,0.20288777351379395,0.11159756779670715
60,0.0942227851277423,0.058746809670988054,0.3547597434298628,0.8370172796091269,0.2560263735721185,0.28209212860253213,174.35488891601562,0.2270245999097824,0.0983773022890091
70,0.09890470769854681,0.06435819610495037,0.34546511137188274,0.8474008894588295,0.2506025934062171,0.27374640804579725,192.8955535888672,0.25116610527038574,0.08907824009656906
80,0.0996765841150824,0.06593770888459455,0.33738874802558033,0.8551560735690444,0.20520401966012367,0.2651370694479143,208.70680236816406,0.2717536687850952,0.0871855616569519
90,0.10545119281479594,0.07225114762605768,0.3320004415503032,0.8604698574870406,0.20421497023978674,0.2548564543655171,221.19583129882812,0.2880154252052307,0.08798690885305405
100,0.10944849580673459,0.07668735042691548,0.3276114491454681,0.864694672948936,0.1942389486355649,0.2030111482793183,232.27072143554688,0.30243584513664246,0.09014051407575607
110,0.11555314492898687,0.0830423926286057,0.3251075092870485,0.867265925801505,0.1427908482081251,0.23728445934318354,236.5797119140625,0.30804651975631714,0.10049305856227875
120,0.11904729852577113,0.0868524437080213,0.3219485390474488,0.8698325721980077,0.16307220602245764,0.2757460178529145,248.50735473632812,0.32357728481292725,0.08783876150846481
130,0.12160552860271959,0.08961947704361838,0.3198605015027102,0.8725215866963723,0.18161893726077677,0.2165674019959419,238.4470672607422,0.31047797203063965,0.12177320569753647
140,0.12337194558352312,0.09163305937202802,0.31738885232669284,0.8743107181427645,0.18113388223543675,0.18608109936104478,260.3043212890625,0.3389379382133484,0.08766108751296997
150,0.12934868590671222,0.09776233818154292,0.3158634553497584,0.8760369838136552,0.1630955150297262,0.18385094906287627,264.67071533203125,0.344623327255249,0.08720627427101135
