learning_rate,weight_decay,best_epoch,val_macro_f1
0.001,0.0,12,0.2120556450984381
0.001,0.0001,15,0.20983308694520256
0.003,0.0,31,0.1980064014093052
0.003,0.0001,17,0.21260138329422792
0.01,0.0,10,0.11837535375421393
0.01,0.0001,23,0.15934013332937452
