epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,1.597260606422853,0.4631320224719101,0.4570175446491195,1.255424976348877,0.5767045454545454,0.5782811597639074
2,1.0512463202637232,0.6418539325842697,0.6387829760071657,1.179839015007019,0.5880681818181818,0.5848947378254106
3,0.851912235276083,0.7071629213483146,0.703273956813311,0.9900287389755249,0.6335227272727273,0.6314224740798601
4,0.7626568413852306,0.7257724719101124,0.7229789172652923,0.8880602121353149,0.6818181818181818,0.6791395061993388
5,0.6829635936222719,0.7563202247191011,0.7539839050796824,0.8808996081352234,0.7045454545454546,0.7013431987018595
6,0.6095457358306713,0.7851123595505618,0.7820052505186964,0.7453458905220032,0.7386363636363636,0.7364290153302064
7,0.6053036772802974,0.7770365168539326,0.7747275616640269,0.7720458507537842,0.7329545454545454,0.7285038265333759
8,0.5530869652715962,0.8033707865168539,0.8012909387141336,0.7268707752227783,0.7414772727272727,0.7404369678415432
9,0.5429945286740078,0.8128511235955056,0.8112423454275415,0.7791921496391296,0.71875,0.7184651195026543
10,0.4982889930853683,0.8237359550561798,0.8224348479198238,0.761254072189331,0.7272727272727273,0.7300500382346985
11,0.46887221664525147,0.8286516853932584,0.8276328985695406,0.7653222680091858,0.7528409090909091,0.7515930932305039
12,0.44607228442524255,0.8360252808988764,0.8346593378920637,0.7615798711776733,0.7329545454545454,0.7324092918249794
13,0.42570210574718004,0.851123595505618,0.8499516607632689,0.7186937928199768,0.7528409090909091,0.7512708201500743
14,0.45255758990062755,0.8367275280898876,0.835938669561606,0.7179378867149353,0.7556818181818182,0.7531817085703958
15,0.4208244299620725,0.8490168539325843,0.8481801650009869,0.7439455389976501,0.7585227272727273,0.755134632091913
16,0.38025418091356084,0.8700842696629213,0.8694194954607379,0.7433534860610962,0.7642045454545454,0.7623243364116101
17,0.3784999566131763,0.8714887640449438,0.8703759156899238,0.7598657608032227,0.7386363636363636,0.7370939295027824
18,0.36859599023722533,0.8718398876404494,0.8712575095300896,0.7290279865264893,0.75,0.7513560839573439
19,0.3549805075934764,0.8799157303370787,0.8793060919354552,0.6969878673553467,0.78125,0.7806768986690324
20,0.37525371286306486,0.8595505617977528,0.8593006041811031,0.7809533476829529,0.7443181818181818,0.7424385977919901
21,0.38872544350249044,0.860252808988764,0.8592223863575893,0.7687082886695862,0.7443181818181818,0.7430766913130015
22,0.35166623887051357,0.8735955056179775,0.8730401782347055,0.7050917148590088,0.7528409090909091,0.7527186688270937
23,0.3439169445734345,0.8788623595505618,0.8780786731303087,0.7387430667877197,0.7528409090909091,0.7529501788809622
24,0.3118442039141494,0.8939606741573034,0.8939129831907967,0.7400625348091125,0.7556818181818182,0.754286014830302
25,0.3262420825743943,0.8872893258426966,0.8866083379017871,0.7949361801147461,0.7528409090909091,0.7525907897803108
26,0.2843779650297058,0.9055477528089888,0.9049393695612903,0.728812575340271,0.7642045454545454,0.7631416886746979
27,0.2905558453182156,0.9066011235955056,0.9063422725776469,0.7997338771820068,0.7386363636363636,0.7364516273819632
