epoch,samples,seconds,samples_per_second,learning_rate,weight_decay,peak_gpu_memory_gib,loss,gradient_norm,invariance_loss,sigreg_loss,logical_views
1,6305,19.34541398892179,325.91703664809535,0.00024524524524524523,0.05,12.248524188995361,3.1420588746324216,8.421126325030254,0.5287122704980867,130.70212133227596,8.0
2,6305,18.72460076608695,336.722800062007,0.0004954954954954955,0.05,12.248524188995361,1.7593012697161614,3.1291244753951784,0.7379982649665517,51.07011300555115,8.0
3,6305,18.465936026070267,341.43950196180583,0.0004963334574577291,0.05,12.248524188995361,1.475661353909903,2.479042828640798,0.7229672483184052,37.64102894528152,8.0
4,6305,19.183123351074755,328.67431880673155,0.0004851760899288076,0.05,12.248524188995361,1.2939136865212746,2.2443612086971445,0.6848740265446934,30.463689532117368,8.0
5,6305,19.081301619065925,330.42819226231825,0.00046686635075750147,0.05,12.248524188995361,1.1978930075805778,1.9749937673015883,0.6535305880346911,27.220796986518636,8.0
6,6305,18.920876079937443,333.229813110263,0.00044196168360308223,0.05,12.248524188995361,1.1405826293883297,1.9384264623239624,0.6422064634280769,24.93525971451229,8.0
7,6305,19.099919226951897,330.10610804589237,0.00041122031602202225,0.05,12.248524188995361,1.0871638165212263,1.8019072447477307,0.629625618968286,22.88106165741475,8.0
8,6305,18.90291939303279,333.5463622790397,0.00037557817507887837,0.05,12.248524188995361,1.0451397852704791,1.6804183934909025,0.6194746242828733,21.280694885011894,8.0
9,6305,19.155271789990366,329.1522077642716,0.00033612039286022675,0.05,12.248524188995361,1.0069868542011724,1.5492142955619697,0.6069362872276488,20.001709952418715,8.0
10,6305,18.976609819103032,332.2511270507863,0.00029404826941195665,0.05,12.248524188995361,0.978779063822257,1.5029686616868088,0.5980283456790267,19.040424266455194,8.0
11,6305,18.60700012696907,338.8509677528031,0.0002506426989198843,0.05,12.248524188995361,0.9456640104279453,1.4002787725023578,0.5834635618752094,18.11507731958763,8.0
12,6305,19.04793719598092,331.00697126040205,0.0002072251726309082,0.05,12.248524188995361,0.9178724352468298,1.3083027234822393,0.5731849042694309,17.237579302141157,8.0
13,6305,19.00711082201451,331.71795855987705,0.0001651175457885472,0.05,12.248524188995361,0.9008804497692341,1.24209628066404,0.5655263316338257,16.768680610626486,8.0
14,6305,19.0919908110518,330.2431926769113,0.00012560179348652836,0.05,12.248524188995361,0.8799161927554457,1.1939356919227375,0.5545387331499739,16.268189928628072,8.0
15,6305,19.100906005129218,330.0890543258472,8.988098068148606e-05,0.05,12.248524188995361,0.8663833112493571,1.1980597169696103,0.5491163542212049,15.866668318794607,8.0
16,6305,19.22550052101724,327.9498493736171,5.904263464051566e-05,0.05,12.248524188995361,0.8492077258444324,1.0879392581076777,0.5411858960714347,15.395028747026169,8.0
17,6305,19.12615537806414,329.65328762471665,3.40256349567196e-05,0.05,12.248524188995361,0.8399190711842748,1.0568159950053664,0.5349478182104445,15.25054520222046,8.0
18,6305,19.085590159986168,330.35394489496724,1.5591629172821512e-05,0.05,12.248524188995361,0.8310188882507851,1.015021376350775,0.529845155211879,15.057479183187946,8.0
19,6305,18.99847591109574,331.8687261812234,4.3018442698870294e-06,0.05,12.248524188995361,0.8249631236603485,0.9881434937586017,0.525278241855582,14.985973433782712,8.0
20,6305,19.163174061104655,329.0164760751826,5e-07,0.05,12.248524188995361,0.8199230683218572,0.9686737557425563,0.5237671317986133,14.813411974623316,8.0
