epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,1.2837224850493871,0.526685393258427,0.5183424800497816,0.8302107453346252,0.7017045454545454,0.698509814993191
2,0.7524599339185136,0.7324438202247191,0.7278865540958643,0.6968483328819275,0.7784090909090909,0.7751450233829341
3,0.6286908783269732,0.7910814606741573,0.7877609583825509,0.6228619813919067,0.78125,0.7795608735400417
4,0.5423109986808863,0.8142556179775281,0.8111047951028212,0.5812867879867554,0.7982954545454546,0.795961524483622
5,0.48733570535531207,0.8416432584269663,0.8395826504474602,0.5356838703155518,0.8153409090909091,0.8144007040820167
6,0.4453698657871632,0.8535814606741573,0.8518148718741378,0.5291985273361206,0.8096590909090909,0.8079239825893154
7,0.407358333635866,0.8669241573033708,0.8652736852649221,0.4991418719291687,0.8295454545454546,0.8277429256140663
8,0.38272859206360377,0.8774578651685393,0.8755732055509555,0.48049068450927734,0.8409090909090909,0.8400140225564412
9,0.35969510054990145,0.8865870786516854,0.8861681091985434,0.48411619663238525,0.8295454545454546,0.8280350677266184
10,0.33967328573880573,0.8967696629213483,0.8954042443717234,0.4753885269165039,0.8323863636363636,0.8314228545734467
11,0.3217708548803008,0.8957162921348315,0.8949904573231402,0.47682076692581177,0.8380681818181818,0.8364368912993179
12,0.3012808874416887,0.9087078651685393,0.9079368302839761,0.44705870747566223,0.8465909090909091,0.8445804429395392
13,0.28932779391160174,0.9111657303370787,0.910444187110556,0.462337851524353,0.8522727272727273,0.8506262832907233
14,0.27648534868540386,0.9195926966292135,0.9188866467417487,0.4519502520561218,0.84375,0.8422808525699281
15,0.26806840769360574,0.918188202247191,0.9175254887220463,0.4667413532733917,0.8522727272727273,0.8508283665239672
16,0.254291056749526,0.9294241573033708,0.9289551870507695,0.4393516778945923,0.8636363636363636,0.8626575775222248
17,0.2446260599607832,0.9280196629213483,0.927554874452401,0.4628399908542633,0.84375,0.8420174196601891
18,0.23418663961164068,0.9346910112359551,0.9344505521394901,0.44138213992118835,0.8607954545454546,0.8597258637512578
19,0.22384895769397864,0.9413623595505618,0.9411552320221781,0.4469107687473297,0.8579545454545454,0.8564446862207041
20,0.21600548839301206,0.9445224719101124,0.944251237007903,0.4382111728191376,0.8664772727272727,0.8655871946356446
21,0.2103946436656995,0.9455758426966292,0.945373210461004,0.4476104974746704,0.8551136363636364,0.8538665384317355
22,0.2007117010234447,0.9487359550561798,0.9483847223835071,0.44253695011138916,0.8579545454545454,0.8568572657962193
23,0.194148633922084,0.9483848314606742,0.9481914948482841,0.44340962171554565,0.8607954545454546,0.860256372188042
24,0.19433526811974772,0.9473314606741573,0.9472617245658912,0.4443552792072296,0.8579545454545454,0.8569608608515206
25,0.1805265752619572,0.9585674157303371,0.95832067989559,0.43140697479248047,0.8579545454545454,0.8569734950913749
26,0.1734094683373912,0.9596207865168539,0.9594917375477063,0.44838854670524597,0.8579545454545454,0.8567516686414186
27,0.1717530791176839,0.9627808988764045,0.9626513131624823,0.44388988614082336,0.8551136363636364,0.8542843869430121
28,0.16520089982600694,0.96875,0.9686635782853454,0.44771817326545715,0.8607954545454546,0.8599048074734694
