epoch,samples,seconds,samples_per_second,learning_rate,weight_decay,peak_gpu_memory_gib,loss,gradient_norm,invariance_loss,sigreg_loss,logical_views
1,6305,19.405877601122484,324.90156485555195,0.00024524524524524523,0.05,12.248615741729736,3.1446914330632985,8.411134256397704,0.5291345984665389,130.8029738302934,8.0
2,6305,18.47302492405288,341.30847686945674,0.0004954954954954955,0.05,12.248615741729736,1.7658025826659116,3.19672343851932,0.7367459370823345,51.464185170499604,8.0
3,6305,19.024298471864313,331.4182654001503,0.0004963334574577291,0.05,12.248615741729736,1.5011387252126962,2.514865124764469,0.7337175007380728,38.37735923869945,8.0
4,6305,19.029570875922218,331.3264414163751,0.0004851760899288076,0.05,12.248615741729736,1.3015349100072833,2.199031845262181,0.6839101628118994,30.878310864393338,8.0
5,6305,18.992389901075512,331.97507174402296,0.00046686635075750147,0.05,12.248615741729736,1.2130667935374424,2.043279086134908,0.6597240284735205,27.668982950039652,8.0
6,6305,18.931151133030653,333.04894962246516,0.00044196168360308223,0.05,12.248615741729736,1.145457012874564,1.884938738045477,0.6411217319502138,25.214482553528946,8.0
7,6305,19.06851733312942,330.6497243519697,0.00041122031602202225,0.05,12.248615741729736,1.0936333047218685,1.754541288180355,0.6287775485596895,23.248205789056303,8.0
8,6305,18.95475594792515,332.6341957301838,0.00037557817507887837,0.05,12.248615741729736,1.0525153698664067,1.662598947170327,0.61753986814871,21.747298770816812,8.0
9,6305,19.036903552012518,331.1988203739918,0.00033612039286022675,0.05,12.248615741729736,1.0256865928326213,1.6309807708677462,0.610122227460784,20.773651863600318,8.0
10,6305,18.714714003028348,336.9006867526668,0.00029404826941195665,0.05,12.248615741729736,0.9908570527274111,1.5253737173696815,0.6001641335702906,19.534778945281523,8.0
11,6305,18.561877604108304,339.67468886900286,0.0002506426989198843,0.05,12.248615741729736,0.9618220855469367,1.4046693840450375,0.5906540672330984,18.56007137192704,8.0
12,6305,18.47645566891879,341.24510203579314,0.0002072251726309082,0.05,12.248615741729736,0.9350228947651565,1.322633319521215,0.5794466531910091,17.773478390166535,8.0
13,6305,19.316288305912167,326.4084642011798,0.0001651175457885472,0.05,12.248615741729736,0.9154523571552878,1.2605069664335742,0.5713071629889516,17.20524385408406,8.0
14,6305,19.076279448810965,330.51518336784454,0.00012560179348652836,0.05,12.248615741729736,0.8893358576118142,1.1990596375892693,0.560105816349919,16.46449246629659,8.0
15,6305,19.274158265907317,327.1219377269753,8.988098068148606e-05,0.05,12.248615741729736,0.8735750229560979,1.1252757484056382,0.5516663350348053,16.092684377478193,8.0
16,6305,19.377376985969022,325.3794362655684,5.904263464051566e-05,0.05,12.248615741729736,0.853971441854663,1.0901086900841142,0.5430282110358684,15.544096946867565,8.0
17,6305,19.046244962140918,331.0363807948881,3.40256349567196e-05,0.05,12.248615741729736,0.843640007223996,1.061363615004625,0.5385472454030206,15.253246431403648,8.0
18,6305,19.308631752850488,326.53789666216034,1.5591629172821512e-05,0.05,12.248615741729736,0.832608229749076,1.0254596803038958,0.5330768403507811,14.971074544012689,8.0
19,6305,18.929751062998548,333.07358237394925,4.3018442698870294e-06,0.05,12.248615741729736,0.82901439376524,1.0151284487922452,0.5287884910838364,15.00631443298969,8.0
20,6305,19.300778101896867,326.67076771274566,5e-07,0.05,12.248615741729736,0.8259432729135705,0.9960843684085299,0.5267764106617382,14.95408901665345,8.0
