epoch,knn_val_accuracy,knn_val_balanced_accuracy,knn_val_macro_f1,linear_val_accuracy,linear_val_balanced_accuracy,linear_val_macro_f1,feature_embedding_std,feature_effective_rank,feature_effective_rank_fraction,feature_mean_pairwise_cosine,feature_near_constant_fraction
0.0,0.3157894736842105,0.31578947368421056,0.31294360163950097,0.27125506072874495,0.27125506072874495,0.26338302158313204,0.3735973834991455,2.61398983001709,0.0034036326687783003,0.7439497709274292,0.0
10.0,0.39271255060728744,0.39271255060728744,0.3842929320142751,0.3117408906882591,0.3117408906882591,0.310194360619248,0.4801928997039795,34.400264739990234,0.04479201138019562,0.48481565713882446,0.0
20.0,0.3441295546558704,0.3441295546558705,0.3451430836083613,0.32793522267206476,0.32793522267206476,0.3246965590704247,0.6079263687133789,75.01484680175781,0.09767558425664902,0.31523066759109497,0.0
30.0,0.3319838056680162,0.33198380566801616,0.32795728656760537,0.3076923076923077,0.30769230769230765,0.3051472002736502,0.638966977596283,106.043701171875,0.1380777359008789,0.19453807175159454,0.0
40.0,0.340080971659919,0.3400809716599191,0.3332480225233968,0.2874493927125506,0.28744939271255066,0.29001850658759043,0.6509872674942017,133.39076232910156,0.17368589341640472,0.1309187114238739,0.0
50.0,0.2834008097165992,0.2834008097165992,0.2857780520706217,0.2591093117408907,0.25910931174089075,0.25709618206185714,0.6482685804367065,155.81781005859375,0.20288777351379395,0.11159756779670715,0.0
60.0,0.2874493927125506,0.28744939271255066,0.28209212860253213,0.2631578947368421,0.2631578947368421,0.2560263735721185,0.6444315910339355,174.35488891601562,0.2270245999097824,0.0983773022890091,0.0
70.0,0.27530364372469635,0.2753036437246964,0.27374640804579725,0.2591093117408907,0.25910931174089075,0.2506025934062171,0.6413866281509399,192.8955535888672,0.25116610527038574,0.08907824009656906,0.0
80.0,0.26720647773279355,0.2672064777327935,0.2651370694479143,0.2145748987854251,0.2145748987854251,0.20520401966012367,0.6273379325866699,208.70680236816406,0.2717536687850952,0.0871855616569519,0.0
90.0,0.2631578947368421,0.2631578947368421,0.2548564543655171,0.20647773279352227,0.2064777327935223,0.20421497023978674,0.613362729549408,221.19583129882812,0.2880154252052307,0.08798690885305405,0.0
100.0,0.2145748987854251,0.2145748987854251,0.2030111482793183,0.20242914979757085,0.20242914979757085,0.1942389486355649,0.608116865158081,232.27072143554688,0.30243584513664246,0.09014051407575607,0.0
110.0,0.2388663967611336,0.23886639676113364,0.23728445934318354,0.145748987854251,0.145748987854251,0.1427908482081251,0.6005448698997498,236.5797119140625,0.30804651975631714,0.10049305856227875,0.0
120.0,0.27530364372469635,0.2753036437246964,0.2757460178529145,0.1700404858299595,0.1700404858299595,0.16307220602245764,0.6061744689941406,248.50735473632812,0.32357728481292725,0.08783876150846481,0.0
130.0,0.2145748987854251,0.21457489878542513,0.2165674019959419,0.18218623481781376,0.1821862348178138,0.18161893726077677,0.5984228849411011,238.4470672607422,0.31047797203063965,0.12177320569753647,0.0
140.0,0.1902834008097166,0.19028340080971662,0.18608109936104478,0.17813765182186234,0.17813765182186234,0.18113388223543675,0.6102641820907593,260.3043212890625,0.3389379382133484,0.08766108751296997,0.0
150.0,0.18218623481781376,0.18218623481781376,0.18385094906287627,0.16194331983805668,0.1619433198380567,0.1630955150297262,0.6110627055168152,264.67071533203125,0.344623327255249,0.08720627427101135,0.0
