epoch,total,prediction,regularizer,variance,covariance,embedding_std,learning_rate,weight_decay,ema_momentum,seconds,samples_per_second,peak_gpu_memory_gib,prediction_defocus_100_to_075,prediction_defocus_075_to_050,prediction_defocus_050_to_025,prediction_defocus_025_to_000,prediction_resolution_100_to_075,prediction_resolution_075_to_050,prediction_resolution_050_to_025,prediction_resolution_025_to_000
1.0,0.52335704581494,0.42888808373393417,0.9446895836788014,0.6962422946784605,6.211182361342548,0.3039801600062082,3.3333333333333337e-06,0.0400095547404416,0.9960001061637827,13.287138551997487,594.6351781522008,6.062620162963867,0.42349004987042244,0.42802915919540274,0.43150273394584654,0.42836756233829465,0.42628316362503127,0.42951875712190357,0.43281113586308045,0.43107412152976915
2.0,0.37175364746894735,0.2894861005654955,0.8226754292704277,0.7568310337449279,1.6461099771408623,0.24293022948780357,6.6666666666666675e-06,0.040038847016218126,0.9960004316335135,12.476748120010598,633.2579550378299,6.061124801635742,0.2840877959984553,0.2903636269937686,0.2901667531762307,0.29228242667945653,0.2867226695472544,0.2883261411313517,0.28990893951549135,0.29414387247800133
3.0,0.30437078361736947,0.22375597157420696,0.8061480981355196,0.7349324875912354,1.7803904158286603,0.2648638563357702,1e-05,0.04008787618256704,0.9960009764020286,12.226017794004292,646.2447653130928,6.062314987182617,0.2184912201636779,0.2232407357904219,0.2230154926022047,0.23008610460654338,0.22007194547235176,0.21945178746177466,0.2253194977112902,0.2304292030255738
4.0,0.245645689396236,0.16646628329239682,0.7917940480892243,0.7206819725555644,1.7778018841244363,0.27913209079277845,1.3333333333333335e-05,0.040156636862309636,0.9960017404095812,12.310083329008194,641.8315610733216,6.061277389526367,0.1601165120418255,0.16437234906236292,0.16668348849131798,0.17353491869169413,0.16053258607262058,0.16657898893958248,0.16690995916345233,0.17321199555018282
5.0,0.19654041059846108,0.11855974232259543,0.7798066679442507,0.7085051199346083,1.7825388322674975,0.2913203414460252,1.6666666666666667e-05,0.040245121514251525,0.9960027235723806,12.070810490986332,654.5542244988383,6.062314987182617,0.10956021494174559,0.11564993793613701,0.12017116873457116,0.1264353853590945,0.11391936167836061,0.11618321180723679,0.12119229280406275,0.1251546765767759
6.0,0.1643510043522992,0.08749501842054411,0.7685598526449389,0.6956431010511461,1.8229187916930816,0.3041900574610273,2e-05,0.04035332043401019,0.9960039257826001,12.192782822006848,648.0062931769296,6.061277389526367,0.07945220510245335,0.08673155106572662,0.09034148962087603,0.09652332504669985,0.07989397755844814,0.08454754921927381,0.08693030114876948,0.0949408556947756
7.0,0.14564613316907352,0.07279823249619213,0.7284789884140214,0.6450081919208537,2.0867700033618775,0.35484858403974145,2.3333333333333332e-05,0.04048122175507879,0.9960053469083897,12.122429914001259,651.7670183330523,6.062314987182617,0.0660607533501874,0.07057673215389729,0.0743354736225398,0.07995783799076661,0.06534399627779834,0.06899404156887227,0.07559459683906973,0.08192275654631878
8.0,0.13646388658917777,0.06830416624681239,0.6815971839791566,0.5843806251998552,2.430413942611032,0.41549734972109,2.666666666666667e-05,0.040628811450127866,0.9960069867938903,12.286822559995926,643.0466429721615,6.061277389526367,0.05841218835145385,0.06611217013720809,0.07237870809508533,0.07639927246154996,0.06383632740955102,0.06509799020370577,0.0683886599564481,0.07608936631296533
9.0,0.13132614782604593,0.06735138212438023,0.639747638405765,0.5317362001418705,2.700286008212977,0.4681559490744124,3e-05,0.040796073332543814,0.9960088452592505,12.237800098999287,645.6225739989071,6.062314987182617,0.05969079671346623,0.06311707852853184,0.07044543742168287,0.07730510262038204,0.059580084771120236,0.0642344851474293,0.06902880904451754,0.07533017845589449
10.0,0.12966597656021692,0.06943404613707038,0.6023192910088299,0.4824337121007292,2.9971394774853737,0.5174688425204103,3.3333333333333335e-05,0.04098298905820391,0.9960109221006467,12.27737765198981,643.5413346366743,6.061277389526367,0.06153925134585454,0.06554490186212476,0.07166656751443844,0.07663862025799528,0.06286819694567378,0.06811933253232309,0.07115345562642046,0.07828698368920003
11.0,0.1319074706667029,0.07447750041766524,0.574299692745496,0.4461024920407194,3.2049301455193207,0.5538065612368939,3.6666666666666666e-05,0.04118953812748827,0.9960132170903054,12.232698253996205,645.8918413538798,6.062314987182617,0.06499373435732562,0.07125066946714352,0.07817121332883835,0.08399766080765779,0.06723822754592144,0.07067263983781376,0.07511217533438294,0.08436734571729657
