class_id,class_name,support,b0_precision,ijepa_precision,b0_recall,ijepa_recall,b0_f1-score,ijepa_f1-score,f1_delta_pp
0,Adrenal_gland,13,0.6666666666666666,1.0,0.15384615384615385,0.7692307692307693,0.25,0.8695652173913043,61.95652173913043
1,Bile-duct,13,0.16666666666666666,0.7272727272727273,0.07692307692307693,0.6153846153846154,0.10526315789473684,0.6666666666666666,56.14035087719298
2,Bladder,13,0.25,0.75,0.07692307692307693,0.46153846153846156,0.11764705882352941,0.5714285714285714,45.3781512605042
3,Breast,13,0.24,0.6666666666666666,0.46153846153846156,0.7692307692307693,0.3157894736842105,0.7142857142857143,39.849624060150376
4,Cervix,13,0.1,0.7777777777777778,0.07692307692307693,0.5384615384615384,0.08695652173913043,0.6363636363636364,54.94071146245059
5,Colon,13,0.5833333333333334,1.0,0.5384615384615384,0.9230769230769231,0.56,0.96,39.99999999999999
6,Esophagus,13,0.4,0.7142857142857143,0.3076923076923077,0.7692307692307693,0.34782608695652173,0.7407407407407407,39.2914653784219
7,HeadNeck,13,0.6,1.0,0.23076923076923078,0.46153846153846156,0.3333333333333333,0.631578947368421,29.82456140350877
8,Kidney,13,0.45454545454545453,0.9230769230769231,0.38461538461538464,0.9230769230769231,0.4166666666666667,0.9230769230769231,50.641025641025635
9,Liver,13,0.08333333333333333,0.9090909090909091,0.07692307692307693,0.7692307692307693,0.08,0.8333333333333334,75.33333333333334
10,Lung,13,0.23809523809523808,0.5,0.38461538461538464,0.6153846153846154,0.29411764705882354,0.5517241379310345,25.760649087221093
11,Ovarian,13,0.0,0.6666666666666666,0.0,0.6153846153846154,0.0,0.64,64.0
12,Pancreatic,13,0.0,0.55,0.0,0.8461538461538461,0.0,0.6666666666666666,66.66666666666666
13,Prostate,13,0.4,0.7058823529411765,0.3076923076923077,0.9230769230769231,0.34782608695652173,0.8,45.21739130434783
14,Skin,13,0.3333333333333333,0.7857142857142857,0.46153846153846156,0.8461538461538461,0.3870967741935484,0.8148148148148148,42.77180406212664
15,Stomach,13,0.2702702702702703,0.6,0.7692307692307693,0.6923076923076923,0.4,0.6428571428571429,24.28571428571429
16,Testis,13,0.6666666666666666,0.9090909090909091,0.3076923076923077,0.7692307692307693,0.42105263157894735,0.8333333333333334,41.2280701754386
17,Thyroid,13,0.25,0.6428571428571429,0.46153846153846156,0.6923076923076923,0.32432432432432434,0.6666666666666666,34.23423423423423
18,Uterus,13,0.25,0.5263157894736842,0.3076923076923077,0.7692307692307693,0.27586206896551724,0.625,34.91379310344828
