metric,b0_percent,ijepa_percent,ijepa_minus_b0_percentage_points
Accuracy,28.34008097165992,72.46963562753037,44.12955465587044
Balanced accuracy,28.34008097165992,72.46963562753037,44.12955465587045
Macro-F1,26.651378064083218,72.56896059434193,45.91758253025871
Weighted-F1,26.651378064083218,72.56896059434195,45.91758253025873
