learning_rate,weight_decay,best_epoch,val_macro_f1
0.001,0.0,5,0.07726250628998588
0.001,0.0001,4,0.04654517972071865
0.003,0.0,5,0.037365886434773045
0.003,0.0001,5,0.04963919869411152
0.01,0.0,4,0.058752275995946186
0.01,0.0001,1,0.029430000391887864
