epoch,prediction_loss,regularizer_loss,weighted_regularizer_loss,total_loss,lambda_reg,g_pred_norm,g_reg_norm,reg_pred_grad_ratio,gradient_cosine,teacher_target_dtype,teacher_target_mean_abs_max,teacher_target_population_variance_mean,student_tokens_dtype,analysis_dtype
1,0.31112775206565857,0.9537250399589539,0.0953725054860115,0.4065002501010895,0.1,0.23267559707164764,0.0214808639138937,0.09232108294963837,-0.003860709723085165,torch.float32,2.9802322387695312e-08,0.9999898672103882,torch.float32,torch.float32
5,0.07054205983877182,0.9320621490478516,0.09320621937513351,0.16374827921390533,0.1,0.13178107142448425,0.050052668899297714,0.37981683015823364,0.011992454528808594,torch.float32,2.60770320892334e-08,0.9999898672103882,torch.float32,torch.float32
10,0.052801962941884995,0.8229473829269409,0.08229473978281021,0.1350966989994049,0.1,0.35470032691955566,0.5824971795082092,1.6422233581542969,-0.19563336670398712,torch.float32,2.7939677238464355e-08,0.9999899864196777,torch.float32,torch.float32
20,0.10099654644727707,1.5236871242523193,0.1523687094449997,0.25336524844169617,0.1,0.6537075042724609,2.4025027751922607,3.6751954555511475,-0.34589770436286926,torch.float32,2.9802322387695312e-08,0.9999900460243225,torch.float32,torch.float32
