epoch,samples,seconds,samples_per_second,learning_rate,weight_decay,peak_gpu_memory_gib,loss,gradient_norm,invariance_loss,sigreg_loss,logical_views
1,7901,111.35505636798916,70.95322168299195,0.00024616626311541566,0.05,12.240990161895752,2.912427771228761,7.5825698583009284,0.5465103851860195,118.25829008986204,8.0
2,7901,98.23524522298248,80.42938134949077,0.00049636803874092,0.05,12.240990161895752,1.6485324042640959,2.896174459453776,0.7323944108378448,45.78667257309201,8.0
3,7901,99.76709021499846,79.19445162701763,0.0004963088867649041,0.05,12.240990161895752,1.3685467364199326,2.361137739768014,0.6985329072500479,33.50105999240603,8.0
4,7901,94.46057473495603,83.64336149943158,0.0004851301590545505,0.05,12.240990161895752,1.2134568346344872,2.026890557259793,0.6591641138194709,27.717156056195417,8.0
5,7901,98.1467380420072,80.5019112975343,0.0004668032211142166,0.05,12.240990161895752,1.1117115992184696,1.8900699250050217,0.6304987790222153,24.05532527528161,8.0
6,7901,90.15791546995752,87.63512287096718,0.0004418858246322386,0.05,12.240990161895752,1.060095825484698,1.7807961894415434,0.622999997995063,21.8575813188204,8.0
7,7901,70.46000758302398,112.13453235425989,0.000411136291593555,0.05,12.240990161895752,1.0159399540209193,1.7084431949408352,0.6072523127385535,20.430475572712314,8.0
8,7901,70.25825422198977,112.45653749146398,0.00037549043593629924,0.05,12.240990161895752,0.9821633755474238,1.6397377873142978,0.596841306871077,19.261477977471205,8.0
9,7901,69.76175641000737,113.25689613609839,0.0003360330835184375,0.05,12.240990161895752,0.9362344366359554,1.512448428899574,0.5774393671827216,17.940592962916085,8.0
10,7901,67.1531274500303,117.6564711134155,0.00029396505713971834,0.05,12.240990161895752,0.9165083512809062,1.4536103720363824,0.5713161881053588,17.257048158460954,8.0
11,7901,70.23971402901225,112.4862210677071,0.0002505666313781475,0.05,12.240990161895752,0.8891166043634612,1.3412326199090145,0.5560431603373885,16.645480002531325,8.0
12,7901,69.35681997600477,113.91814103837937,0.0002071585694358727,0.05,12.240990161895752,0.8649652873906979,1.2470848966800567,0.5469013160579552,15.899712061764333,8.0
13,7901,82.28436303301714,96.02067402320014,0.00016506192777712827,0.05,12.240990161895752,0.8396905314362573,1.1772009721588084,0.536414541846332,15.163333755220858,8.0
14,7901,70.80984132899903,111.58053530003143,0.00012555785184120596,0.05,12.240990161895752,0.8222616197730662,1.1112381478319167,0.5261221625445508,14.811345082900898,8.0
15,7901,69.63377095398027,113.46506000977071,8.984858638503937e-05,0.05,12.240990161895752,0.8097888769160161,1.0600353549242232,0.5214101313458351,14.419408935577774,8.0
16,7901,69.34981086000334,113.9296546309228,5.9020887044635926e-05,0.05,12.240990161895752,0.798758659637694,1.0390164054069257,0.5153646964526541,14.172177572459182,8.0
17,7901,64.95307915698504,121.64165429177083,3.401294662725033e-05,0.05,12.240990161895752,0.7850926919928564,1.0082552164826961,0.5081653499238145,13.849813314770282,8.0
18,7901,61.26960154098924,128.95464963509264,1.558584268086215e-05,0.05,12.240990161895752,0.7813010139112879,0.9651532458091232,0.5056650433196642,13.78023351474497,8.0
19,7901,59.32394327496877,133.18399896949802,4.300375289517188e-06,0.05,12.240990161895752,0.7695775779496716,0.9470489961922041,0.4983483120966917,13.562452537653462,8.0
20,7901,60.17089745396515,131.3093261745814,5e-07,0.05,12.240990161895752,0.7695896630648675,0.934805481347264,0.4970529601666282,13.62560118972282,8.0
