lr,weight_decay,epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
0.001,0.0,1,2.822179222664638,0.11988304093567251,0.11077575853878503,2.5157852172851562,0.18218623481781376,0.15958203279978422
0.001,0.0,2,2.4223695786608124,0.22417153996101363,0.19719600936215728,2.4974520206451416,0.19433198380566802,0.15562325731741353
0.001,0.0,3,2.3554333664520444,0.25682261208577,0.23017011802231466,2.5035336017608643,0.2145748987854251,0.18896055163361575
0.001,0.0,4,2.322992407090483,0.26705653021442494,0.2489139266336171,2.4830329418182373,0.1902834008097166,0.17502402619924842
0.001,0.0,5,2.299500171668813,0.28460038986354774,0.26258708769349753,2.452253818511963,0.2145748987854251,0.1927461452484569
0.001,0.0,6,2.278158977482519,0.2850877192982456,0.2590826710060379,2.4284603595733643,0.21862348178137653,0.20244340168974984
0.001,0.0,7,2.2613845701106112,0.29434697855750486,0.2649266559121406,2.429776906967163,0.21862348178137653,0.19962375926750348
0.001,0.0,8,2.266554657246402,0.29434697855750486,0.26860586868083763,2.462789297103882,0.18218623481781376,0.15591370380724606
0.001,0.0,9,2.2727624333625185,0.27680311890838205,0.2566508659125976,2.4635581970214844,0.22267206477732793,0.19420261809688735
0.001,0.0,10,2.247624615247254,0.28411306042884993,0.2628164536192528,2.4585187435150146,0.242914979757085,0.21416300979967148
0.001,0.0,11,2.213228339805008,0.2899610136452242,0.2670441716214766,2.4279701709747314,0.23481781376518218,0.21597156638889642
0.001,0.0,12,2.1926110604120743,0.31432748538011696,0.2955429973737205,2.411660671234131,0.23076923076923078,0.21504206269330126
0.001,0.0,13,2.1818579976786414,0.3157894736842105,0.29735816058876263,2.3950676918029785,0.2550607287449393,0.23809474937428554
0.001,0.0,14,2.195024595390751,0.3050682261208577,0.2871875524979687,2.4070210456848145,0.21862348178137653,0.2038986520773224
0.001,0.0,15,2.206446392959089,0.30994152046783624,0.29276289984874476,2.4498770236968994,0.20242914979757085,0.19061545684376113
0.001,0.0,16,2.2135684118401007,0.300682261208577,0.28715957838645506,2.4357285499572754,0.21052631578947367,0.19418220503315486
0.001,0.0,17,2.1699840327684874,0.3157894736842105,0.2955660073196846,2.4320082664489746,0.20242914979757085,0.18506020656621794
0.001,0.0,18,2.1597320591961897,0.31920077972709554,0.2953326656040368,2.461061477661133,0.20242914979757085,0.1914527505533785
0.001,0.0,19,2.1391097421069825,0.32651072124756336,0.3112967018430732,2.456225633621216,0.23076923076923078,0.2243675104276334
0.001,0.0,20,2.134892013802631,0.33528265107212474,0.3270673431723004,2.457771062850952,0.23481781376518218,0.22382930786971925
0.001,0.0,21,2.136252537573058,0.33869395711500977,0.3339495394014732,2.433626413345337,0.22672064777327935,0.20916248620507966
0.001,0.0001,1,2.822179133896707,0.11988304093567251,0.11077575853878503,2.5157852172851562,0.18218623481781376,0.15958203279978422
0.001,0.0001,2,2.422369549381338,0.22417153996101363,0.19719600936215728,2.4974517822265625,0.19433198380566802,0.15562325731741353
0.001,0.0001,3,2.35543336459303,0.25682261208577,0.23017011802231466,2.503533363342285,0.2145748987854251,0.18896055163361575
0.001,0.0001,4,2.3229924382289715,0.26705653021442494,0.2489139266336171,2.483032703399658,0.1902834008097166,0.17502402619924842
0.001,0.0001,5,2.299500225115473,0.28460038986354774,0.26258708769349753,2.4522531032562256,0.2145748987854251,0.1927461452484569
0.001,0.0001,6,2.2781591573421487,0.2850877192982456,0.2590826710060379,2.428459644317627,0.21862348178137653,0.20244340168974984
0.001,0.0001,7,2.261384810852958,0.29434697855750486,0.2649266559121406,2.429776430130005,0.21862348178137653,0.19962375926750348
0.001,0.0001,8,2.2665549584067124,0.29434697855750486,0.26860586868083763,2.4627888202667236,0.18218623481781376,0.15591370380724606
0.001,0.0001,9,2.2727626415721156,0.27680311890838205,0.2566508659125976,2.463557481765747,0.22267206477732793,0.19420261809688735
0.001,0.0001,10,2.2476247965011447,0.28411306042884993,0.2628164536192528,2.4585177898406982,0.242914979757085,0.21416300979967148
0.001,0.0001,11,2.213228819198311,0.2899610136452242,0.2670441716214766,2.427969217300415,0.23481781376518218,0.21597156638889642
0.001,0.0001,12,2.1926116590146667,0.31432748538011696,0.2955429973737205,2.4116597175598145,0.23076923076923078,0.21504206269330126
0.001,0.0001,13,2.1818585958164802,0.3157894736842105,0.29735816058876263,2.395066976547241,0.2550607287449393,0.23809474937428554
0.001,0.0001,14,2.1950253450382524,0.3050682261208577,0.2871875524979687,2.4070205688476562,0.21862348178137653,0.2038986520773224
0.001,0.0001,15,2.2064473387325947,0.30994152046783624,0.29276289984874476,2.449876070022583,0.20242914979757085,0.19061545684376113
0.001,0.0001,16,2.213569399673804,0.300682261208577,0.28715957838645506,2.435727834701538,0.21052631578947367,0.19418220503315486
0.001,0.0001,17,2.1699850798582707,0.3157894736842105,0.2955660073196846,2.432007312774658,0.20242914979757085,0.18506020656621794
0.001,0.0001,18,2.1597333419160303,0.31920077972709554,0.2953326656040368,2.4610605239868164,0.20242914979757085,0.1914527505533785
0.001,0.0001,19,2.1391110503882693,0.32651072124756336,0.3112967018430732,2.4562249183654785,0.23076923076923078,0.2243675104276334
0.001,0.0001,20,2.1348934684812906,0.33528265107212474,0.3270755309601669,2.4577698707580566,0.23481781376518218,0.22382930786971925
0.001,0.0001,21,2.1362540596409847,0.33869395711500977,0.3339495394014732,2.4336254596710205,0.22672064777327935,0.20916248620507966
0.003,0.0,1,2.697685746421591,0.15789473684210525,0.14714266419923713,2.535754442214966,0.2145748987854251,0.18354086855307364
0.003,0.0,2,2.4419085749408653,0.25584795321637427,0.23335875703238512,2.713515281677246,0.18218623481781376,0.1651292389991584
0.003,0.0,3,2.4049464889437133,0.26072124756335285,0.24524667999344296,2.5903091430664062,0.20647773279352227,0.1858178521416376
0.003,0.0,4,2.3597496218151517,0.2743664717348928,0.25238148813452027,2.5333566665649414,0.21052631578947367,0.19097458304672565
0.003,0.0,5,2.369195673200819,0.25828460038986356,0.24636602115457268,2.5194435119628906,0.23076923076923078,0.22985438978166017
0.003,0.0,6,2.3095826979501437,0.2831384015594542,0.2678444635926551,2.4940617084503174,0.25101214574898784,0.22982671301333948
0.003,0.0,7,2.32208021040316,0.290448343079922,0.275912166352373,2.6020102500915527,0.20647773279352227,0.19203919915349366
0.003,0.0,8,2.3758231150476554,0.28606237816764135,0.27039285272543934,2.674304246902466,0.21052631578947367,0.18266729754459574
0.003,0.0,9,2.299425803662276,0.2919103313840156,0.28074006365045334,2.5856306552886963,0.23481781376518218,0.2164513974398091
0.003,0.0,10,2.216441108004624,0.30360623781676416,0.2921662164718469,2.5492007732391357,0.2145748987854251,0.20141442073273938
0.003,0.0,11,2.1753343820107145,0.3216374269005848,0.3162466072079663,2.427116632461548,0.24696356275303644,0.22910957443294405
0.003,0.0,12,2.1367533904070046,0.33528265107212474,0.3287358573758818,2.4242124557495117,0.25101214574898784,0.23603184883787376
0.003,0.0,13,2.1350833416914616,0.32115009746588696,0.3065098838773487,2.5171725749969482,0.2145748987854251,0.2029673069900808
0.003,0.0,14,2.213291788194147,0.3216374269005848,0.3204681528581434,2.582367420196533,0.21052631578947367,0.21120728485411794
0.003,0.0,15,2.246355863574885,0.3206627680311891,0.3164900171838953,2.564056873321533,0.21862348178137653,0.20229490395603975
0.003,0.0,16,2.2110526129516246,0.31237816764132553,0.3020321684932815,2.561229944229126,0.22672064777327935,0.22101273123665321
