epoch,samples,seconds,samples_per_second,learning_rate,weight_decay,peak_gpu_memory_gib,loss,gradient_norm,invariance_loss,sigreg_loss,logical_views
1,6305,19.291563189122826,326.82680704459204,1.6334422294819654e-05,0.05,12.240990161895752,4.6646940973238,14.711464155334788,0.26918955786562837,219.71019032513877,8.0
2,6305,18.37911063199863,343.0525081568849,3.300220014667645e-05,0.05,12.240990161895752,2.3124097917308704,6.378315906615413,0.5733615268137037,86.9849722442506,8.0
3,6305,18.50315009895712,340.75278891864815,4.9669977998533234e-05,0.05,12.240990161895752,1.8285270888402667,4.716692591091643,0.6647848927246778,58.19309080095162,8.0
4,6305,19.072251214878634,330.58499119817316,6.633775585039002e-05,0.05,12.240990161895752,1.6052088134823859,3.6389785293545827,0.6907360202542002,45.710229976209355,8.0
5,6305,18.911734562832862,333.3908890827595,8.300553370224681e-05,0.05,12.240990161895752,1.4683382989583178,3.1614967053131298,0.6887173979458215,38.9896708961142,8.0
6,6305,18.840534866089,334.6507965306411,9.967331155410361e-05,0.05,12.240990161895752,1.3866381138681325,2.8750227522226104,0.6908880665791971,34.78582474226804,8.0
7,6305,18.680711255874485,337.5139154842019,0.0001163410894059604,0.05,12.240990161895752,1.3008010015801528,2.4923142361130437,0.6748290881100957,31.30054520222046,8.0
8,6305,18.64093796419911,338.23405303472816,0.00013300886725781718,0.05,12.240990161895752,1.2245740399485443,2.200253530932645,0.6689968690524302,27.78210745440127,8.0
9,6305,18.688073500990868,337.38095045836053,0.00014967664510967397,0.05,12.240990161895752,1.1653777086479526,2.119457315566708,0.6613710918755498,25.189026566217287,8.0
10,6305,18.594281875062734,339.08273749769256,0.00016634442296153075,0.05,12.240990161895752,1.1171237022511833,1.990763358177409,0.6532043226742725,23.194419111816018,8.0
11,6305,18.19041196606122,346.61117141071685,0.00018301220081338754,0.05,12.240990161895752,1.0760615409413186,1.8785706230045593,0.6422142469816791,21.699653053132433,8.0
12,6305,18.489667905960232,341.00125713818545,0.00019967997866524433,0.05,12.240990161895752,1.0299803665287433,1.7465849928020203,0.6165648319246654,20.671818001586043,8.0
13,6305,18.590794212184846,339.146349964304,0.00021634775651710114,0.05,12.240990161895752,1.0032637144156054,1.6839195752503096,0.608408751807262,19.739755154639177,8.0
14,6305,18.179100453853607,346.8268419553986,0.00023301553436895793,0.05,12.240990161895752,0.9744197588227836,1.7153005556300176,0.5876829644879304,19.337906423473434,8.0
15,6305,18.885324463015422,333.85711812087555,0.0002496833122208147,0.05,12.240990161895752,0.9557610029837709,1.6982163319977195,0.5770094076477281,18.93613699444885,8.0
16,6305,19.37834042101167,325.3632593410101,0.0002663510900726715,0.05,12.240990161895752,0.9377879566374892,1.6795091318951818,0.5655122639828499,18.61827418715305,8.0
17,6305,19.136181272100657,329.4805745382592,0.0002830188679245283,0.05,12.240990161895752,0.9283980622261313,1.6639524355849795,0.5615123595348149,18.344369547977795,8.0
18,6305,18.80788632808253,335.2317155695398,0.00029968664577638513,0.05,12.240990161895752,0.9237539435643038,1.7100116030551629,0.5633083646586734,18.028305908009518,8.0
19,6305,18.820632342947647,335.00468449257875,0.00031635442362824183,0.05,12.240990161895752,0.9127559310193103,1.6995927257730694,0.5538605385976212,17.944974226804124,8.0
20,6305,19.057617031037807,330.8388446326468,0.00033302220148009865,0.05,12.240990161895752,0.9035005307121943,1.7099826522992774,0.5529907201699659,17.527240285487707,8.0
21,6305,18.902672519907355,333.5507184690359,0.0003496899793319554,0.05,12.240990161895752,0.8979265966177176,1.7417751010120341,0.5451464525108579,17.63685071371927,8.0
22,6305,18.993909714976326,331.94850847525254,0.0003663577571838123,0.05,12.240990161895752,0.8913764991994702,1.78175170103961,0.5398613171762743,17.576685170499605,8.0
23,6305,18.914709053002298,333.338460683286,0.00038302553503566903,0.05,12.240990161895752,0.8960277088287801,1.837882713993611,0.5436517423339348,17.618759912767644,8.0
24,6305,19.07307244814001,330.5707571312066,0.0003996933128875258,0.05,12.240990161895752,0.8898399328920786,1.8502591918140625,0.5362347832092872,17.682201625693892,8.0
