step,loss,batch_fetch_seconds,wall_seconds,gpu_milliseconds,source_images,source_images_per_second,invariance_loss,sigreg_loss,num_views
1,2.6090240478515625,0.0005157870473340154,0.25635989604052156,255.55894470214844,128,499.298064857101,0.812148928642273,90.0,8.0
2,2.6664347648620605,0.0008433680050075054,0.27169090404640883,270.52618408203125,128,471.12361177220606,0.775809645652771,94.5,8.0
3,2.606889009475708,0.00048671202966943383,0.2736512169940397,272.1799621582031,128,467.74869633701616,0.864701509475708,87.0,8.0
4,2.552687406539917,0.0011525939917191863,0.268597942951601,267.1815185546875,128,476.54869800348575,0.8261249661445618,86.5,8.0
5,2.5222959518432617,0.7634882709826343,1.0377843689639121,273.0061340332031,128,123.33968773088263,0.8191708326339722,85.0,8.0
6,2.482316255569458,0.000918589998036623,0.27403284900356084,272.96893310546875,128,467.0972858379352,0.794816255569458,84.5,8.0
7,2.500939130783081,0.0004201559931971133,0.2710267230286263,269.93133544921875,128,472.27815238898205,0.8212515711784363,84.0,8.0
8,2.4745492935180664,0.000679977994877845,0.26949550199788064,268.53955078125,128,474.961545001989,0.8182992935180664,83.0,8.0
9,2.398757219314575,0.0005955579690635204,0.2697539309738204,268.1224060058594,128,474.50652354876115,0.8362572193145752,78.0,8.0
10,2.3633341789245605,0.000501139962580055,0.26510975195560604,264.5025939941406,128,482.8189044567257,0.785209059715271,79.0,8.0
11,2.3345730304718018,0.000298365019261837,0.26660409301985055,265.82720947265625,128,480.11265899983573,0.8033230304718018,76.5,8.0
12,2.2367589473724365,0.000690657994709909,0.2692366210394539,268.3808288574219,128,475.41823807558075,0.7289464473724365,75.5,8.0
13,2.252830743789673,0.6889006179990247,0.9598097769776359,270.51568603515625,128,133.35975843365728,0.7528307437896729,75.0,8.0
14,2.351393222808838,0.001019060960970819,0.2735505329910666,272.1477966308594,128,467.92085762150623,0.7498306035995483,80.0,8.0
15,2.274848461151123,0.00034497404703870416,0.2685658090049401,267.8036193847656,128,476.6057171396882,0.7748483419418335,75.0,8.0
