epoch,samples,seconds,samples_per_second,learning_rate,weight_decay,peak_gpu_memory_gib,loss,gradient_norm,dino_global_loss,dino_local_loss,ibot_loss,koleo_loss,teacher_temperature,masked_patch_fraction,logical_views,ema_momentum
1,7901,35.977649347973056,219.60856651812173,3.279746222915211e-06,0.0400095547404416,17.21845054626465,17.06811361067839,0.9879742092972178,11.106003785914913,11.105022153165155,5.550454776357388,2.0626368925037633,0.040163260877037414,0.14763855042638332,10.0,0.9920002123275654
2,7901,31.753191781928763,248.82537964251463,6.613258777353621e-06,0.040038847016218126,17.43855571746826,16.701246036364903,5.47792871836363,11.105302161045458,11.101582746598678,5.548074616433517,0.25587643052012465,0.04049661213248124,0.14763855042638332,10.0,0.9920008632670271
3,7901,33.431181255029514,236.3362496744366,9.946771331792031e-06,0.04008787618256704,17.43855571746826,16.638284370848204,8.092842018222555,11.102786972679347,11.093409099272272,5.539291867967226,0.022705462519699463,0.0408299633879251,0.14763855042638332,10.0,0.992001952804057
4,7901,33.63174751994666,234.92683498869616,1.3280283886230441e-05,0.040156636862309636,17.43855571746826,16.612291548738238,8.40320362831698,11.09941436737161,11.087150214518374,5.525209025119984,-0.00715257233974602,0.04116331464336893,0.14763855042638332,10.0,0.9920034808191625
5,7901,33.70301997603383,234.43003047259236,1.6613796440668853e-05,0.040245121514251525,17.43855571746826,16.59268593193685,7.6445680228294774,11.096145255220735,11.084109065895095,5.510684916647517,-0.017227512567296176,0.041496665898812776,0.14763855042638332,10.0,0.9920054471447611
6,7901,33.23329064599238,237.7435350643733,1.9947308995107262e-05,0.04035332043401019,17.43855571746826,16.569179778732146,6.214914932475484,11.092441573684358,11.082659683473773,5.492240873051209,-0.03403899503510868,0.04183001715425661,0.14763855042638332,10.0,0.9920078515652002
7,7901,35.31313334405422,223.7411198553502,2.3280821549545672e-05,0.04048122175507879,17.43855571746826,16.533160096315655,4.3071961688355636,11.089329100457826,11.084113121998339,5.46225521205694,-0.06893967247819496,0.04216336840970045,0.14763855042638332,10.0,0.9920106938167795
8,7901,34.29562923195772,230.37921090649084,2.6614334103984085e-05,0.040628811450127866,17.43855571746826,16.484970490369083,3.106137579052588,11.087613841096536,11.085285917865583,5.420792399260262,-0.10683407170638874,0.042496719665144296,0.14763855042638332,10.0,0.9920139735877807
9,7901,34.710738491034135,227.62408244471223,2.9947846658422495e-05,0.040796073332543814,17.43855571746826,16.42602466447582,2.3253654390177445,11.085149343761216,11.084115667503674,5.370999852911821,-0.1460283581398964,0.04283007092058813,0.14763855042638332,10.0,0.992017690518501
10,7901,33.959095690981485,232.66226144232303,3.328135921286091e-05,0.04098298905820391,17.43855571746826,16.37475384677336,2.0012309065107727,11.081955707189389,11.081922054713232,5.32493799485039,-0.16054973668417527,0.04316342217603198,0.14763855042638332,10.0,0.9920218442012935
