epoch,total,prediction,regularizer,variance,covariance,embedding_std,zero_prediction,residual_cosine,learning_rate,weight_decay,ema_momentum,seconds,samples_per_second,peak_gpu_memory_gib,target_delta_rms,residual_skill,prediction_defocus_100_to_075,zero_prediction_defocus_100_to_075,residual_skill_defocus_100_to_075,prediction_defocus_075_to_050,zero_prediction_defocus_075_to_050,residual_skill_defocus_075_to_050,prediction_defocus_050_to_025,zero_prediction_defocus_050_to_025,residual_skill_defocus_050_to_025,prediction_defocus_025_to_000,zero_prediction_defocus_025_to_000,residual_skill_defocus_025_to_000,prediction_resolution_100_to_075,zero_prediction_resolution_100_to_075,residual_skill_resolution_100_to_075,prediction_resolution_075_to_050,zero_prediction_resolution_075_to_050,residual_skill_resolution_075_to_050,prediction_resolution_050_to_025,zero_prediction_resolution_050_to_025,residual_skill_resolution_050_to_025,prediction_resolution_025_to_000,zero_prediction_resolution_025_to_000,residual_skill_resolution_025_to_000
1,0.19877354011039555,0.10555223566184707,0.9322130366181017,0.7057228853786736,5.662253887679603,0.294476524053865,0.0025177324079227,-0.0015930802399973193,3.3333333333333337e-06,0.0400095547404416,0.9960001061637827,8.30933356800233,950.8584455467349,6.110200881958008,0.07096103442565733,-40.92353219496222,0.10252261626804975,0.001846020350566751,-54.53709970563111,0.10492891678188601,0.0022863187671949468,-44.894263865323495,0.10640439891815186,0.0019981896774843334,-52.25039965781032,0.10397888177196554,0.0015104603093459633,-67.83920161860388,0.10471736345385095,0.002441916086256798,-41.88327680185429,0.10657159481493253,0.002824544808679512,-36.73053785071842,0.10754713581668006,0.0027568871385337396,-38.01035131742078,0.10764978552711081,0.004401756773833222,-23.45609584042627
2,0.11171129309494365,0.03000606917417241,0.8170522247563584,0.7758474333077168,1.0301198426748648,0.22390147023315052,0.0024411374406714394,0.0024164832891289787,6.6666666666666675e-06,0.040038847016218126,0.9960004316335135,15.981924110994441,494.3710122215301,6.109895706176758,0.06987329384179759,-11.29183931811688,0.028709623909746174,0.0017626454225320059,-15.287804423254542,0.03003140210317887,0.0022279305754577725,-12.479505346349638,0.029137137442112465,0.001892753360099601,-14.39404872094862,0.02961620140874956,0.0015353756509488932,-18.289221755240256,0.029673985784139597,0.0024761595219994583,-10.983874835405732,0.030278229737186812,0.0027195440022742367,-10.133568609982571,0.0301990755544234,0.0026246760073021427,-10.505829851153509,0.032292777850921016,0.004175138949179464,-6.734539674965185
3,0.09112623759786202,0.010947262726423804,0.801789735113725,0.7450944345263858,1.4173826150178397,0.2547001955087027,0.0022247868645811305,0.006576459168814478,1e-05,0.04008787618256704,0.9960009764020286,16.110282338995603,490.43212488432334,6.109712600708008,0.06670513553833807,-3.9205894284551563,0.010091862292262261,0.0016816723093256085,-5.001087272650249,0.010902659133857778,0.00205404898001542,-4.307886637530878,0.010184159782862572,0.0017294295093504906,-4.888739452981442,0.010561023552910534,0.0014947222398543067,-6.065542527780905,0.010862208264865642,0.002323486815632969,-3.6749601468715607,0.010810840874910355,0.0023780983952762444,-3.546002342201046,0.011337122573267395,0.002392402015308418,-3.7388033034263533,0.01290772871428599,0.003811110078258165,-2.3868685105483376
4,0.08360923361516484,0.004423755701700146,0.7918547653138012,0.7266425975001835,1.6303043094651184,0.2731699333728348,0.002026228953910589,0.013279995364850722,1.3333333333333335e-05,0.040156636862309636,0.9960017404095812,16.056206352004665,492.08386008401897,6.109712600708008,0.06365892204104698,-1.1832457251004969,0.003506500944421724,0.0014897756906744291,-1.3537106736077247,0.004061896054638551,0.0018414701060153046,-1.2057898422407476,0.003959578107944958,0.00152366485797766,-1.5987198478807558,0.003988651003803789,0.0012943786693756113,-2.0815178727627317,0.004295223947418363,0.0020874395358719323,-1.0576519097230905,0.0047468980627329155,0.002264574328088431,-1.0961546741280332,0.004544845569048869,0.002093064142078434,-1.1713837993210237,0.006302214051215566,0.003613939366536689,-0.743862697191598
5,0.08100474607814732,0.0027233336316279002,0.7828141140071762,0.7140085585674686,1.7201389011710886,0.28581459685799865,0.0018022617419721687,0.022636145251474112,1.6666666666666667e-05,0.040245121514251525,0.9960027235723806,15.692177195000113,503.4992851417354,6.109712600708008,0.060037686263473375,-0.5110644409772724,0.0019099904939517182,0.0012446462640042484,-0.5345649195193332,0.002414476245950617,0.001596264861090162,-0.5125787109675903,0.0023993223288355492,0.0014609402896105302,-0.6423137522445772,0.002359273522458178,0.0011437039183294201,-1.0628359181494371,0.0026127011390957534,0.001800749054339614,-0.450896854727993,0.002915273837183031,0.0020675245626937443,-0.41003105345687785,0.0029340647973860427,0.001985393798354055,-0.4778251044293891,0.004217785039556122,0.0030913318079265374,-0.3643909168020161
6,0.08029234256284658,0.0021666541878358446,0.7812568662197072,0.710910611296889,1.7586563815800182,0.28891460897575194,0.0015949158804459808,0.03003793429036847,2e-05,0.04035332043401019,0.9960039257826001,16.02104483099538,493.16384064503706,6.109834671020508,0.056478594653368665,-0.3584755248847298,0.001572247582340711,0.0011472560758495078,-0.3704417134391813,0.001976116276483684,0.0014807980061599096,-0.33449414995382276,0.0018762253194077138,0.00127397439658888,-0.47273392968601735,0.0018008720084935247,0.0010550870310014975,-0.7068468814218309,0.0021030575900034747,0.001611050848297846,-0.3053949179974411,0.002297360350873636,0.0017757348790394133,-0.29375188717157874,0.0022064592285733764,0.0016090580633091353,-0.3712738395752144,0.00349389493615184,0.002809452304813131,-0.24362137423231123
7,0.07796150341171688,0.002291953223193419,0.7566954885430162,0.6796324959571958,1.9265748264065061,0.3202075512216689,0.0014768624578061216,0.03048349591602692,2.3333333333333332e-05,0.04048122175507879,0.9960053469083897,16.37553723200108,482.4879872985091,6.109834671020508,0.05434818142153129,-0.5519070249765263,0.001745164948584411,0.0010760931903725775,-0.6217600521941595,0.0020533708481492103,0.0013338010367396828,-0.5394881182342082,0.0019753413845855832,0.0011448930828689347,-0.7253500908885453,0.0019326866594942297,0.0009605738815604038,-1.012012502728762,0.0022167759639595613,0.001467201516346816,-0.510887181659347,0.0023563069315199066,0.0015945511070502765,-0.47772430817773204,0.0025041555272257744,0.0016434453103450401,-0.5237230660873216,0.003565274797947196,0.002599219657450056,-0.3716712197555787
8,0.06921614271985506,0.003117570519476088,0.6609857073389659,0.5622035590112548,2.4695537261398,0.43767939603203476,0.0015074450608944987,0.027011313931487237,2.666666666666667e-05,0.040628811450127866,0.9960069867938903,15.895163200999377,497.06944811382874,6.109834671020508,0.05490801400836977,-1.0681155156833122,0.0024447809904813767,0.001029657441467496,-1.37436344557177,0.0028158799254248295,0.0013445585213711696,-1.0942784420816571,0.0028981727351407864,0.0012672629739698081,-1.2869544795915688,0.002887777925281957,0.0010363220125170962,-1.7865643018311528,0.0030700095439482604,0.0015424953145187314,-0.9902877597434541,0.003227528765660907,0.0016869650650522638,-0.9132161255283109,0.003188963563498091,0.0015333621072789964,-1.0797198185345902,0.004398119437646674,0.002604526765906368,-0.688644361508852
9,0.05791903244690523,0.00425342690708122,0.5366560469441981,0.4114101589020257,3.1311473012981406,0.588503782333656,0.0017689362917047802,0.025649465317817265,3e-05,0.040796073332543814,0.9960088452592505,16.158120535008493,488.9801374412044,6.109834671020508,0.059480017540311,-1.4045110765306634,0.0035987959668526185,0.0012882764036159801,-1.7934967657184355,0.003958629911287335,0.0015825155219736963,-1.501479357592761,0.003990304520587448,0.0014656695748419173,-1.7225130336882586,0.00389208477686055,0.0011731831953934243,-2.317542215182641,0.004220176099733631,0.001785461777761564,-1.3636328440614798,0.0043330537078932665,0.0019056766034394013,-1.2737612982564244,0.004329694546092576,0.0018354937393462681,-1.358871868249818,0.005631629211130777,0.003046777543298301,-0.8483887094146803
10,0.049152060317217645,0.004501897929331299,0.44650161827973,0.29642079431653673,3.752020633095443,0.7035076214141325,0.002344134140280195,0.029918446418318985,3.3333333333333335e-05,0.04098298905820391,0.9960109221006467,15.7271220949915,502.38053423112757,6.109834671020508,0.0684709306636121,-0.9204950143310424,0.0038229906024077,0.0017434510760582411,-1.1927719423312286,0.004183502679244299,0.0020997615065425634,-0.9923704031191587,0.0039753580558122975,0.0018308191882944343,-1.1713548127686413,0.0037810644588476636,0.001481326427214195,-1.5524856570326575,0.004558377741285932,0.00241133842079902,-0.8903931949027171,0.004788009195425043,0.002655658847055374,-0.8029458869440416,0.004708728175301151,0.0025108850800675724,-0.875326040479093,0.00618739469515291,0.0040067397038984105,-0.5442467323576827
