epoch,prediction,prediction_cosine,target_rms,signed_change_abs_mean,embedding_std,gradient_norm,learning_rate,weight_decay,ema_momentum,optimizer_global_step,seconds,samples_per_second,peak_gpu_memory_gib,prediction_defocus_100_to_075,prediction_defocus_075_to_050,prediction_defocus_050_to_025,prediction_defocus_025_to_000,prediction_resolution_100_to_075,prediction_resolution_075_to_050,prediction_resolution_050_to_025,prediction_resolution_025_to_000
1.0,0.49336295873737684,0.09666161968645877,0.9999949555679589,0.012277486862142705,0.3210202070591254,0.5652556488324141,3.3333333333333337e-06,0.0400095547404416,0.9960001061637827,62.0,6.089184034004575,1297.5465934150586,6.485263347625732,0.501385475485279,0.5027841309196929,0.5039132342338563,0.5021649755314531,0.48398735863821846,0.4847285383277469,0.4852599680669023,0.4837771454271245
2.0,0.35347015889984584,0.43433750298879914,0.9999949330366203,0.012296824265556366,0.17099721309369523,0.4586875141723113,6.6666666666666675e-06,0.040038847016218126,0.9960004316335135,124.0,3.8653873769799247,2044.0383406470246,6.484103679656982,0.3597341272942193,0.3598977203776197,0.3554452199011078,0.35915148555612864,0.34747772867029364,0.3481693011356065,0.34757670750404784,0.350753665085799
3.0,0.22549771931583015,0.7259732115918994,0.9999949420491558,0.012216213126376285,0.10639481747011613,0.3683827063536707,1e-05,0.04008787618256704,0.9960009764020286,186.0,3.8744867490022443,2039.2378428019301,6.484103679656982,0.225227412336575,0.22757628680236877,0.22436413226440607,0.22392382435764827,0.22545161633681085,0.22541226093624123,0.2243965585541919,0.22771234987197891
4.0,0.13442458384848896,0.8735117881513218,0.9999949677992568,0.012292506065830542,0.0923978513878307,0.29707390275533824,1.3333333333333335e-05,0.040156636862309636,0.9960017404095812,248.0,3.8291072079737205,2063.40527200361,6.484103679656982,0.1318124544455925,0.13317989749114487,0.13301698824498043,0.1333269652632094,0.13436705978293167,0.1367908456386664,0.1330825559726688,0.1398399315637872
5.0,0.0709729583903538,0.9415676762462944,0.9999949710180193,0.012280207215816779,0.08789911770568651,0.22472415790159844,1.6666666666666667e-05,0.040245121514251525,0.9960027235723806,310.0,4.814542445004918,1641.0697569396814,6.484103679656982,0.0697337122673684,0.07009891366911547,0.06977540269288321,0.07020338241090165,0.0708496043559963,0.07177046308735352,0.07082068909066855,0.07457718523519655
6.0,0.03140522824422821,0.9741200518417986,0.9999949832493169,0.012252723265915326,0.08568496458961336,0.1453560221157124,2e-05,0.04035332043401019,0.9960039257826001,372.0,12.922183093993226,611.4291944735496,6.484103679656982,0.030691372147697186,0.030991891611225997,0.030527778382551565,0.029962543092055885,0.031119238763382535,0.0316394162415272,0.03118954821599044,0.03511238235924112
7.0,0.013768949655189105,0.9874246488898755,0.999994984536822,0.012279009017361743,0.08437496905024482,0.07835656851567795,2.3333333333333332e-05,0.04048122175507879,0.9960053469083897,434.0,15.901341011980549,496.8763322569555,6.484103679656982,0.012804392193044935,0.01343901948138074,0.012893541912684998,0.012476110305735354,0.013466494520464346,0.014029148219552161,0.014048340301312025,0.017008451875222562
8.0,0.007943740263621353,0.992238490736314,0.999994990974347,0.012320983340980302,0.08333708916966062,0.040903542305363715,2.666666666666667e-05,0.040628811450127866,0.9960069867938903,496.0,15.775610179989599,500.8364120217637,6.484103679656982,0.006808147916392465,0.007562591953964656,0.007334814356562947,0.006760061565676474,0.00782589299987394,0.008253653642933182,0.007971304690730893,0.010992765299467197
9.0,0.00589693339022673,0.9941346902754349,0.9999949903305945,0.012291666214432801,0.08176883854846112,0.023669742894122124,3e-05,0.040796073332543814,0.9960088452592505,558.0,15.84402728601708,498.67371832746807,6.484103679656982,0.0049578558066454914,0.005523663088014743,0.005359490341714278,0.004850314825742324,0.005826170819113257,0.006055937870023924,0.005939457924744007,0.008533977031293431
10.0,0.004898878245359508,0.995107263783053,0.9999949929056045,0.012265851707572762,0.08020103528742971,0.015284841810303004,3.3333333333333335e-05,0.04098298905820391,0.9960109221006467,620.0,15.760459237004397,501.31787920551415,6.484103679656982,0.004090962295348828,0.004611044383246051,0.004292647068453307,0.0038638001549120395,0.004884510760360759,0.005134838964804801,0.0050851344285509645,0.007221054826103021
11.0,0.004276225456800333,0.9957221083936171,0.9999949916180995,0.012266970926038637,0.07894028899956619,0.010377341685016282,3.6666666666666666e-05,0.04118953812748827,0.9960132170903054,682.0,15.728430179005954,502.3387528239228,6.484103679656982,0.0035178959652736193,0.004016154198947116,0.003796151790767908,0.0033492574158775303,0.004197240841065722,0.004444587343771543,0.004348320643122427,0.006456292291305944
12.0,0.003830226191336381,0.9961653442537313,0.999994988399337,0.012274524257569626,0.07782924737191445,0.007301156836849589,4e-05,0.04141569788752825,0.9960157299765281,744.0,15.91626395698404,496.410465505823,6.484103679656982,0.003177533260571183,0.0036548103879743476,0.003302044746960291,0.0029599878766618497,0.0037883625199990065,0.0039559309315159025,0.003958061398408145,0.005728227658862643
13.0,0.0034873838244821017,0.996507483152721,0.9999949941931094,0.012240278878272528,0.07689740280213499,0.00529785032743967,4.3333333333333334e-05,0.04166144353469042,0.9960184604837188,806.0,15.825885729020229,499.2453588560788,6.484103679656982,0.0027876731889221614,0.0033263437217101455,0.003099815995507949,0.0026419535751068604,0.0034757367355196483,0.0037383262743583764,0.0035711814312461188,0.005328037225332791
14.0,0.003234338368409522,0.9967605722145164,0.999994992261852,0.012248111023649618,0.07589635516047372,0.0040778382660682224,4.6666666666666665e-05,0.04192674811729752,0.9960214083124144,868.0,16.33156920800684,483.7869465799034,6.484103679656982,0.0026022043553065267,0.0031187308236365167,0.0028797336975941485,0.0024639126911912995,0.0031434550920599385,0.0033930481762369943,0.003399041766492178,0.004873717886579741
15.0,0.0030668937714484947,0.996928242185028,0.9999949948368619,0.012305979174873182,0.07521998412825083,0.003325392125939877,5e-05,0.04221158253858376,0.9960245731393176,930.0,16.562011663016165,477.0555751777029,6.484103679656982,0.0024387795617756753,0.002882757813459205,0.0027081907967461873,0.002361054989965038,0.0029970218140230364,0.003108897488900756,0.0031501354585672377,0.004851152906344543
16.0,0.0029031947191070057,0.9970923345189444,0.999994989686842,0.01228765128096694,0.07462689358872593,0.002915887909027498,5.333333333333334e-05,0.04251591555988615,0.9960279546173321,992.0,9.142679477023194,864.1886680875443,6.484103679656982,0.0022777661432319806,0.002732354597451818,0.002572590581153178,0.0022889401853263738,0.0028454841685646654,0.0029732152115349744,0.0030623645621651752,0.004469366000974598
17.0,0.002758689055747604,0.9972372254213643,0.9999949851805745,0.01225362385103372,0.07386772032440983,0.002730102562781109,5.666666666666667e-05,0.042839713804070534,0.9960315523756008,1054.0,6.491084545996273,1217.207994136106,6.484103679656982,0.002228842580259727,0.002604970172583521,0.0024706159198271374,0.0020080219206171637,0.0027289640227472745,0.002919003597967517,0.0028465938471739565,0.004279178436922193
18.0,0.0026570764858143163,0.9973391170909686,0.9999949819618119,0.012256043483269183,0.07342746031727916,0.002622564563768402,6e-05,0.043182941759192184,0.9960353660195466,1116.0,5.168581500998698,1528.6592653077698,6.484103679656982,0.0021070658973413496,0.002494351817249077,0.0023192488909368173,0.0019948461551549603,0.0026313707594813546,0.002801951788039261,0.0027562463795348393,0.004127384788061242
19.0,0.0025891747129457503,0.9974071974392829,0.9999949761680395,0.012282759742043176,0.07308192085769415,0.002562673749710288,6.333333333333333e-05,0.04354556178239066,0.9960393951309154,1178.0,10.170985965,776.817510828214,6.484103679656982,0.0020250039812906282,0.002375211284243907,0.002256295996292038,0.0019129408596864133,0.0025373598367380472,0.002698942375766327,0.002751293358861452,0.004077651738646961
20.0,0.0025260334661122708,0.9974705191929572,0.9999949671555042,0.012310450908801064,0.0725571273231624,0.002484766639183951,6.666666666666667e-05,0.04392753410401784,0.9960436392678225,1240.0,15.882738646003418,497.4582895367439,6.484103679656982,0.0019749670437513253,0.002364052151722356,0.0022440606396239584,0.0019043997412672932,0.002496194194268878,0.0025781992900036498,0.002625044819771378,0.004018402124723691
21.0,0.0024584448820201862,0.9975382963353631,0.9999949542804538,0.012266970926038637,0.07218886683476362,0.0024170777342877384,7.000000000000001e-05,0.044328816831999796,0.9960480979648,1302.0,15.820280007988913,499.4222602893349,6.484103679656982,0.0019473746152860777,0.002295468319963632,0.0021556924413889647,0.0018453242726262631,0.0023986264898125174,0.002572795137807372,0.0025112297109983585,0.003886435522571118
22.0,0.002408113360542645,0.9975887540472774,0.9999949697305143,0.012274524257569626,0.07185858303445032,0.0023227040149052715,7.333333333333333e-05,0.044749365956431364,0.9960527707328493,1364.0,15.83711500899517,498.89136976730845,6.484103679656982,0.0019366692064016393,0.002291787198055687,0.0020555872237067027,0.0017947140353075431,0.002371709553919958,0.0024985986134682995,0.002502502844086975,0.0037329068383975504
23.0,0.002354158902985895,0.9976428425051022,0.9999949632929891,0.012240278878272528,0.07164408294551207,0.0021979667589885517,7.666666666666667e-05,0.045189135354402554,0.9960576570594933,1426.0,15.700874038011534,503.2203927546849,6.484103679656982,0.0018286429978309868,0.0022407302890168203,0.002080954079117094,0.0017327055832316387,0.0023363915373638623,0.002538321651049755,0.0024187394949736272,0.00370771089190054
24.0,0.002315711909524343,0.9976813602773408,0.9999949703742668,0.012248111023649618,0.0713261513204729,0.002105751298428093,8e-05,0.045648076795057335,0.996062756408834,1488.0,15.897212410025531,497.0053740376053,6.484103679656982,0.0018224849777123515,0.002235561149467111,0.0020534050636266538,0.0017215640274519772,0.0022381964012196187,0.002434195035837106,0.0024472204731476026,0.0035723099701273466
25.0,0.0023068205528953755,0.9976902623641885,0.9999949684430093,0.012305979174873182,0.07127434795317114,0.002013613198464318,8.333333333333333e-05,0.04612613994488268,0.9960680682216098,1550.0,15.840371291997144,498.7888133652356,6.484103679656982,0.0017976751305698866,0.002166117119500809,0.0020292584878012273,0.0017413180202562758,0.0022424306430264495,0.0023392430664011445,0.002374835225892709,0.0037328805736896974
26.0,0.0022731793161734812,0.9977239925730698,0.9999949658679992,0.01228765128096694,0.07118641763525724,0.001980761510257888,8.666666666666667e-05,0.04662327237322972,0.9960735919152581,1612.0,15.908748496993212,496.6449750269989,6.484103679656982,0.0017498940425483805,0.0021382145974627904,0.002008856340258068,0.001768012816657523,0.0022185934068165982,0.002329793159122491,0.0024052030605860916,0.0035635689264116575
27.0,0.0022330710041663106,0.9977641808746767,0.9999949748805343,0.01225362385103372,0.07086456565257342,0.0018751082978489644,9e-05,0.047139419558062945,0.9960793268839785,1674.0,16.254546298994683,486.07939309192926,6.484103679656982,0.0017781263079696102,0.0021080540997403248,0.00199746270539261,0.0015977375090318689,0.0022022243527778022,0.0023672796807787974,0.0023078718477517217,0.0035204423472683863
28.0,0.00221273702300671,0.9977845613329701,0.9999949787430494,0.012256043483269183,0.07088803977185361,0.001826072888265069,9.333333333333333e-05,0.04767452489194052,0.9960852724987993,1736.0,16.672194587998092,473.9028181501515,6.484103679656982,0.0017315634998993658,0.002076748038270497,0.0019275079553399714,0.0016412325136963503,0.002185237147631133,0.0023361834432553807,0.002297672731866865,0.0034850908959486396
29.0,0.002210386188223641,0.9977869020053336,0.9999949780992969,0.012282759742043176,0.0709788300424207,0.0017980278587702426,9.666666666666668e-05,0.04822852968822233,0.996091428107647,1798.0,10.708351100998698,737.8353516315996,6.484103679656982,0.00170724430911081,0.002024791769247698,0.001922511650241821,0.0016147172449473524,0.0021594124760345042,0.0023067015372064026,0.002354138330824925,0.003523927070977316
