step,loss,batch_fetch_seconds,wall_seconds,gpu_milliseconds,source_images,source_images_per_second,invariance_loss,sigreg_loss,num_views
1,1.913025140762329,0.00042889296310022473,0.260690294962842,259.92791748046875,128,491.0040859719949,0.6708375811576843,62.25,6.0
2,1.9089409112930298,0.0012427250039763749,0.27391928201541305,272.17877197265625,128,467.2909444644267,0.6355034112930298,63.75,6.0
3,1.9172590970993042,0.0003895080299116671,0.25175053504062817,250.82838439941406,128,508.43983302495474,0.6594465970993042,62.75,6.0
4,1.8317914009094238,0.0007492100121453404,0.2473084880039096,246.29644775390625,128,517.572207218284,0.6364789009094238,59.75,6.0
5,1.8147728443145752,0.00021820300025865436,0.2596483600209467,258.94659423828125,128,492.9744212121109,0.6585228443145752,57.75,6.0
6,1.7909340858459473,0.0019977749907411635,0.2471731510013342,244.96226501464844,128,517.8555983182375,0.6971840858459473,54.75,6.0
7,1.7723561525344849,0.00040582899237051606,0.27164449100382626,270.7013854980469,128,471.204107718117,0.6551686525344849,56.0,6.0
8,1.78364896774292,0.0007279790006577969,0.24001803301507607,239.10540771484375,128,533.2932629772865,0.6664614677429199,55.75,6.0
9,1.8073757886886597,0.0004321589949540794,0.23599836602807045,235.04412841796875,128,542.3766365601668,0.6511257886886597,58.0,6.0
10,1.7309139966964722,0.0007091930019669235,0.24562537804013118,244.77603149414062,128,521.1187908241586,0.6606014966964722,53.5,6.0
11,1.719062328338623,0.0003759219544008374,0.24517959298100322,244.2225341796875,128,522.0662879961529,0.6253123879432678,54.75,6.0
12,1.709674596786499,0.0007698379922658205,0.24054280697600916,239.6096649169922,128,532.1298175952784,0.623737096786499,54.25,6.0
13,1.6605887413024902,0.3596130439545959,0.608103840961121,248.15667724609375,128,210.49036591792165,0.6371511816978455,51.0,6.0
14,1.7452433109283447,0.06091715698130429,0.30091304797679186,239.74266052246094,128,425.3720497021189,0.7139932513237,51.5,6.0
15,1.6235733032226562,0.00022821204038336873,0.24171426601242274,240.934814453125,128,529.5508705862712,0.6704483032226562,47.75,6.0
16,1.6987178325653076,0.0008244729833677411,0.24498219799716026,243.96435546875,128,522.4869441390339,0.7026240229606628,49.75,6.0
17,1.6599791049957275,0.000284458976238966,0.234819401986897,234.17884826660156,128,545.0997614206617,0.6638853549957275,49.75,6.0
18,1.6475472450256348,0.0006473359535448253,0.23780806397553533,237.02662658691406,128,538.2491992078455,0.68660968542099,48.0,6.0
