epoch,total,prediction,regularizer,variance,covariance,embedding_std,learning_rate,weight_decay,ema_momentum,seconds,samples_per_second,peak_gpu_memory_gib,prediction_defocus_100_to_075,prediction_defocus_075_to_050,prediction_defocus_050_to_025,prediction_defocus_025_to_000,prediction_resolution_100_to_075,prediction_resolution_075_to_050,prediction_resolution_050_to_025,prediction_resolution_025_to_000
1,0.5233575847122944,0.4288886418532396,0.9446893904936674,0.6962425043093767,6.211172382766092,0.3039799504620473,3.3333333333333337e-06,0.0400095547404416,0.9960001061637827,6.650527331978083,1188.0260926091084,6.016436576843262,0.42349127360752653,0.42802977867615527,0.43150279235839845,0.4283681538328913,0.4262842669275594,0.4295188732563503,0.4328116786823351,0.431074355480939
2,0.3717517685685003,0.2894842110016937,0.8226755515274677,0.7568311869321088,1.646109088284051,0.24293007458814894,6.6666666666666675e-06,0.040038847016218126,0.9960004316335135,13.04769816994667,605.5474227782734,6.016436576843262,0.28408548096856046,0.2903617192816928,0.29016501165157316,0.2922804457234246,0.286721047578436,0.28832406185537696,0.2899070204669283,0.29414227255777836
3,0.30436974258426475,0.223754940482125,0.8061479775230578,0.734932556180709,1.7803856374990819,0.2648637923330103,1e-05,0.04008787618256704,0.9960009764020286,4.768213175004348,1657.0148418317717,6.016436576843262,0.21849018944528156,0.2232400451696688,0.22301479230516205,0.23008479608228505,0.22007103323571908,0.2194506129878622,0.2253183651018918,0.23042786970227128
4,0.2456469106200435,0.16646752014346944,0.7917938846196574,0.7206827074255374,1.7777794481998546,0.27913135824822394,1.3333333333333335e-05,0.040156636862309636,0.9960017404095812,11.419405396096408,691.8924169817866,6.016436576843262,0.16011765181900717,0.16437353503900254,0.16668479941902362,0.1735357949414204,0.1605342745780945,0.16658017832851973,0.1669113255226236,0.1732131469759582
5,0.19654518750223565,0.11856459352848968,0.779805918582375,0.7085042152053539,1.7825425793258258,0.29132124485886257,1.6666666666666667e-05,0.040245121514251525,0.9960027235723806,4.847716839052737,1629.8394197347316,6.016436576843262,0.1095660683956552,0.11565501215662678,0.12017582018934998,0.1264401503065799,0.11392393959497311,0.11618852970070591,0.12119709748079517,0.12515845654472227
6,0.16437220559846208,0.08751551451890201,0.7685668979124425,0.6957102227989532,1.8214169468340762,0.30412289401788134,2e-05,0.04035332043401019,0.9960039257826001,4.364877249114215,1810.1310871006478,6.016436576843262,0.0794562288382758,0.08675327280905679,0.09034778848218038,0.09654974925494146,0.07991989538089375,0.08457603929054677,0.08695173628232185,0.09497112832476745
7,0.14561452271402403,0.07276173707047319,0.728527832613642,0.6449874015325776,2.088510780542082,0.3548693787280615,2.3333333333333332e-05,0.04048122175507879,0.9960053469083897,12.647158646024764,624.7253016378845,6.016436576843262,0.06601643955766273,0.070544927032082,0.07429906112588104,0.07992430179404439,0.06530104336605995,0.06896855121511374,0.07555044889450073,0.08188934164282716
8,0.13651317292761914,0.06835516335303807,0.6815800916739708,0.584411025198181,2.429226741686967,0.41546695169550363,2.666666666666667e-05,0.040628811450127866,0.9960069867938903,4.415374381002039,1789.4292348108706,6.016436576843262,0.05847764707090867,0.06616141708026378,0.07242253185709106,0.0764469358230828,0.06388033958191568,0.06514861619253771,0.06843623872530663,0.07614851500614579
9,0.13139541227068272,0.06740413690564633,0.6399127202929613,0.5319566874319414,2.698900819292492,0.46793542153743867,3e-05,0.040796073332543814,0.9960088452592505,4.762409310787916,1659.03421658917,6.016436576843262,0.059744376300469686,0.0631686782222555,0.07050160713765302,0.07736568901054097,0.059636672949698454,0.06427664816623828,0.0690793371935251,0.07538105252956326
10,0.12979298815321672,0.06954905954082923,0.6024392664832354,0.4826539574190267,2.9946328008224685,0.5172485595427802,3.3333333333333335e-05,0.04098298905820391,0.9960109221006467,11.097643503919244,711.9529472369231,6.016436576843262,0.061654774317374594,0.06565536016767676,0.07178805688820263,0.07675456327477885,0.062974656592568,0.06823673338814835,0.07126438392024811,0.07840890976941865
11,0.1321839844349924,0.07466219401053274,0.5752178810922545,0.4472377552908895,3.1995032366854135,0.5526710907246037,3.6666666666666666e-05,0.04118953812748827,0.9960132170903054,4.4431789899244905,1778.2313109412398,6.016436576843262,0.06519296713996199,0.07147111520807967,0.07837372308969498,0.08416011489704789,0.06741746540727286,0.07086147444825323,0.07525940650284535,0.08454582665328679
12,0.1375072316502698,0.08202008794110993,0.5548714190521598,0.4204378478316744,3.3608392723420497,0.579475280363761,4e-05,0.04141569788752825,0.9960157299765281,12.756572886835784,619.3669781131797,6.016436576843262,0.07315196130145152,0.07906695679435885,0.084783009990537,0.09021025951835569,0.07434859363870187,0.0783423130137037,0.08415589162281581,0.09262639895759502
13,0.14464770834018362,0.09075717361889796,0.5389053293488144,0.3981085227774813,3.5199202390399678,0.6018078867777468,4.3333333333333334e-05,0.04166144353469042,0.9960184604837188,4.479963227873668,1763.6305474208243,6.016436576843262,0.08157669745370716,0.08793890139748974,0.09382134221465431,0.09938931972422499,0.08294764650220414,0.0883785963558301,0.09136327295526256,0.10066154817555588
14,0.1518376229696071,0.09903579513633,0.5280182593050765,0.38299175389294926,3.6256627058804813,0.6169267122224379,4.6666666666666665e-05,0.04192674811729752,0.9960214083124144,4.4204824338667095,1787.3614742743796,6.016436576843262,0.09035028114591595,0.09610851494178883,0.10274182283441434,0.10760496590555328,0.09114471272418373,0.09527789112143732,0.10128336047350087,0.10827951627933323
15,0.1568738161864997,0.10515079538952835,0.517230202307989,0.3690577180208156,3.7043121645924653,0.6308625563385064,5e-05,0.04221158253858376,0.9960245731393176,19.800680377986282,399.02669247588386,6.016436576843262,0.09708262329285147,0.10229310172684454,0.10700736161049536,0.1136585846860358,0.09837881980608978,0.10197286537425804,0.10637402534484863,0.1142199516536728
16,0.1578453599410847,0.10741428651812408,0.5043107321889714,0.35160135290408767,3.8177345985250373,0.648321110121043,5.333333333333334e-05,0.04251591555988615,0.9960279546173321,4.41984580992721,1787.6189215139432,6.016436576843262,0.0991246086745127,0.10413883381252047,0.10954217370907234,0.11477225720285175,0.10067861676849543,0.10488842702030543,0.1088398482161037,0.11667856307484996
17,0.15690685957085557,0.10735499528620367,0.4955186279887354,0.33743253960939557,3.9521523342149467,0.6624915936886095,5.666666666666667e-05,0.042839713804070534,0.9960315523756008,4.644569388125092,1701.1264855253796,6.016436576843262,0.10027052510548108,0.10442079304457902,0.10875071564415771,0.11434968308551316,0.10220155067718852,0.1055333487879785,0.10828332438397763,0.11543562848872119
18,0.15550491755830384,0.10685197757612436,0.4865293899015179,0.32526413018892664,4.031631602680905,0.6746613811562445,6e-05,0.043182941759192184,0.9960353660195466,4.8157254580874,1640.6666178885412,6.016436576843262,0.09976585276761846,0.10379038538251605,0.10882093001271609,0.11285531046922782,0.10207916260248742,0.10463927225964514,0.10850228578713932,0.11452104767642347
19,0.15088924031373202,0.10302065863852682,0.47868580689778467,0.3144362320697484,4.106239490487306,0.6854904590188936,6.333333333333333e-05,0.04354556178239066,0.9960393951309154,4.35783279594034,1813.057170839688,6.016436576843262,0.09728528306536052,0.09988674790228323,0.1038632575075636,0.10725496196153253,0.09897990462620436,0.10135173822035555,0.10465699742375975,0.1106403565335771
20,0.1476384714753126,0.1004911611386378,0.4714730832866741,0.3041381912206701,4.183372374079436,0.6957896026293396,6.666666666666667e-05,0.04392753410401784,0.9960436392678225,4.689991237828508,1684.6513350114928,6.016436576843262,0.09491211909514208,0.09783936298090565,0.10133104288932121,0.1049352182625489,0.09730540515154193,0.09884380259692552,0.10158173770825397,0.10739351238244887
21,0.1441766836740234,0.09763919696572038,0.46537484759515546,0.29458181212452633,4.269825961737372,0.7053469483753712,7.000000000000001e-05,0.044328816831999796,0.9960480979648,4.76777684292756,1657.166486665627,6.016436576843262,0.09321336464799768,0.09420395266805959,0.09740135532617569,0.10151030982857026,0.09451353878810488,0.09647257407269781,0.09901955932256126,0.10461869959295149
22,0.13929452171409873,0.0933713728524042,0.459231475054833,0.287146923595132,4.302113841838617,0.7127825987744884,7.333333333333333e-05,0.044749365956431364,0.9960527707328493,4.445324718020856,1777.3729707461453,6.016436576843262,0.0893132692660086,0.09040018522400196,0.09301368977653098,0.09612936147037514,0.09123564776823376,0.09202627736733729,0.09505420731484175,0.09983547243928863
23,0.13303410417746026,0.08781284433333968,0.45221258239902407,0.27900696800730074,4.330140456747758,0.7209233592513422,7.666666666666667e-05,0.045189135354402554,0.9960576570594933,12.182654792210087,648.5450121308625,6.016436576843262,0.0833779987328516,0.08549450223724689,0.08679717261358577,0.08912324555135184,0.08652855879669889,0.0874542379029392,0.08961127722651009,0.09433191947031562
24,0.12977992786348447,0.0850878172353572,0.44692108907543876,0.27102136084617295,4.397493290487776,0.7289097217906353,8e-05,0.045648076795057335,0.996062756408834,4.452912296866998,1774.3444005306426,6.016436576843262,0.08110996443021462,0.08306748938583566,0.0835126805055828,0.08655700044533642,0.08484531352394506,0.08486709480690062,0.08616799013054383,0.09078238865022989
25,0.12646698231463824,0.08225086518079928,0.44216116460165394,0.26580147843710333,4.408992277581606,0.7341301038195522,8.333333333333333e-05,0.04612613994488268,0.9960680682216098,4.827153961872682,1636.7822659907097,6.016436576843262,0.07903945319196011,0.07870275582401091,0.08072551073877533,0.08405022253381444,0.08182293812773143,0.08238711563611005,0.0828276121074,0.08857224785512494
26,0.12517567346698347,0.08148110686785932,0.4369456603728945,0.2586394443461117,4.457655551327647,0.7412928026049307,8.666666666666667e-05,0.04662327237322972,0.9960735919152581,11.51339638303034,686.2440705720276,6.016436576843262,0.07827097370556975,0.07848626978789704,0.07929835421466734,0.08244887328816798,0.08210110816388023,0.08140479255078444,0.08270337517067805,0.08707469845536965
27,0.1192265478810424,0.07592119718409689,0.43305350286555344,0.2524022157849156,4.516282251674515,0.747531171471782,9e-05,0.047139419558062945,0.9960793268839785,4.786197570851073,1650.7885190780078,6.016436576843262,0.07353199691020797,0.07287221557491429,0.07326573088749173,0.07606275981144779,0.07720933447905598,0.07640114719366511,0.07653377204392087,0.08153850717063794
