epoch,samples,seconds,samples_per_second,learning_rate,weight_decay,peak_gpu_memory_gib,loss,gradient_norm,context_tokens,target_tokens_per_block,ema_momentum
1,7901,3.9170963510405272,2017.0553113663389,6.590354320124738e-05,0.0400095547404416,3.8304576873779297,0.22644009942714813,0.22575061377045957,12.74370332869257,10.506644728515377,0.9960131189848916
2,7901,3.036608812981285,2601.915652165597,7.190386579923651e-05,0.040038847016218126,3.7696943283081055,0.08312720490824405,0.10229805088498867,12.458043285660043,10.833565371471966,0.9960264530351094
3,7901,3.039056814974174,2599.819773381612,7.790418839722565e-05,0.04008787618256704,3.8304576873779297,0.05020153050523908,0.08979416812217593,12.481584609543097,10.798253385647387,0.9960397870853271
4,7901,3.0658646489609964,2577.0870226373504,8.390451099521479e-05,0.040156636862309636,3.8336315155029297,0.04002239237473579,0.07793011820777626,12.927857233261612,10.444753828629288,0.9960531211355449
5,7901,3.041009809006937,2598.150119936682,8.990483359320393e-05,0.040245121514251525,3.8325328826904297,0.038538311692887114,0.1267705118429086,12.481584609543097,10.701050499936716,0.9960664551857626
6,7901,3.052797404990997,2588.1180281019338,9.590515619119306e-05,0.04035332043401019,3.7694501876831055,0.0376297014083776,0.1000220315584411,12.678901404885458,10.701050499936716,0.9960797892359804
7,7901,3.0699687050073408,2573.6418703920003,0.00010190547878918219,0.04048122175507879,3.8325328826904297,0.039192429944682375,0.1133811335773532,12.988229338058474,10.396152385773952,0.9960931232861981
8,7901,3.1083944890415296,2541.8266657769896,0.00010790580138717135,0.040628811450127866,3.918076515197754,0.040652558874207316,0.12265423457202482,12.539045690418934,10.687761042905962,0.9961064573364159
9,7901,3.0420569850248285,2597.255751254612,0.00011390612398516048,0.040796073332543814,3.8336315155029297,0.04275488161015489,0.13752637133652945,12.587647133274269,10.78496392861663,0.9961197913866336
10,7901,3.067760845995508,2575.4941133411835,0.00011990644658314961,0.04098298905820391,3.7696943283081055,0.044744657016625784,0.14508809149642485,12.421212504746235,10.833565371471966,0.9961331254368514
11,7901,5.171530625026207,1527.7875300138942,0.00012590676918113877,0.04118953812748827,3.8321666717529297,0.04608490088912841,0.1352234742880139,12.798253385647387,10.78496392861663,0.9961464594870691
12,7901,4.845174264977686,1630.6947011402049,0.0001319070917791279,0.04141569788752825,3.8321666717529297,0.04648421811091494,0.13098974745834255,12.603847614226048,10.736362485761296,0.9961597935372869
13,7901,4.75218179600779,1662.6047443381624,0.00013790741437711703,0.04166144353469042,3.8294811248779297,0.046343778482951965,0.13586065548082768,12.967599038096443,10.312238957094038,0.9961731275875046
14,7901,5.034597416000906,1569.3409715122648,0.0001439077369751062,0.04192674811729752,3.8294811248779297,0.04687994533300837,0.12396264770275098,12.991140361979497,10.458043285660043,0.9961864616377225
15,7901,3.640043631021399,2170.578377870425,0.00014990805957309532,0.04221158253858376,3.7694501876831055,0.04767723213808172,0.14573001285781287,12.516896595367674,10.701050499936716,0.9961997956879403
16,7901,5.3849041080102324,1467.2498974024415,0.00015590838217108445,0.04251591555988615,3.823369026184082,0.047685863491425465,0.13468834647757694,12.571446652322491,10.78496392861663,0.996213129738158
17,7901,4.824912957032211,1637.5424946235466,0.00016190870476907358,0.042839713804070534,3.8321666717529297,0.04764582135029389,0.12094655732741282,12.74370332869257,10.555246171370712,0.9962264637883758
18,7901,4.7695516149979085,1656.5498474018432,0.0001679090273670627,0.043182941759192184,3.8346080780029297,0.04762281213979331,0.1219683599715715,12.39324136185293,10.78496392861663,0.9962397978385935
19,7901,5.042125064006541,1566.9980216083252,0.00017390934996505187,0.04354556178239066,3.8321666717529297,0.04606698283782082,0.10074550060890337,12.631818757119351,10.78496392861663,0.9962531318888113
20,7901,4.197348296002019,1882.3789313661948,0.000179909672563041,0.04392753410401784,3.7696943283081055,0.046794026258825096,0.12479578836980974,12.814453866599164,10.347550942918618,0.996266465939029
21,7901,4.539106169017032,1740.6510678094592,0.00018590999516103016,0.044328816831999796,3.8289928436279297,0.045736076526457926,0.0974145851621008,12.793823566637135,10.687761042905962,0.9962797999892468
22,7901,4.5797183199902065,1725.2152748156127,0.0001919103177590193,0.044749365956431364,3.7690839767456055,0.045773479807450036,0.10655515310266715,12.659789900012656,10.749651942792052,0.9962931340394645
23,7901,4.968850891978946,1590.106077192682,0.00019791064035700842,0.045189135354402554,3.7690839767456055,0.045254291435417204,0.10886957093652722,12.808505252499684,10.409441842804709,0.9963064680896823
24,7901,5.16204928397201,1530.5936780829156,0.00020391096295499755,0.045648076795057335,3.7701826095581055,0.04607747216850289,0.10909756798560732,12.712821161878244,10.639159600050627,0.9963198021399
