learning_rate,weight_decay,best_epoch,val_macro_f1,epochs_run,seed,cache_sha256,standardized_tensor_sha256
0.001,0.0,17,0.34656928518792945,25,20260903,c82f70625d5e8eaa4492962cd0a20fafc53b466955aa782974182a0f879c44eb,1475c3f8f8e867d8a9e8ce004aded2d723d9bf09ffcdffff6bd5ecce293d4aac
0.001,0.0001,17,0.34656928518792945,25,20260903,c82f70625d5e8eaa4492962cd0a20fafc53b466955aa782974182a0f879c44eb,1475c3f8f8e867d8a9e8ce004aded2d723d9bf09ffcdffff6bd5ecce293d4aac
0.003,0.0,5,0.32083093970204746,13,20260903,c82f70625d5e8eaa4492962cd0a20fafc53b466955aa782974182a0f879c44eb,1475c3f8f8e867d8a9e8ce004aded2d723d9bf09ffcdffff6bd5ecce293d4aac
0.003,0.0001,5,0.32083093970204746,13,20260903,c82f70625d5e8eaa4492962cd0a20fafc53b466955aa782974182a0f879c44eb,1475c3f8f8e867d8a9e8ce004aded2d723d9bf09ffcdffff6bd5ecce293d4aac
0.01,0.0,5,0.2927270058123918,13,20260903,c82f70625d5e8eaa4492962cd0a20fafc53b466955aa782974182a0f879c44eb,1475c3f8f8e867d8a9e8ce004aded2d723d9bf09ffcdffff6bd5ecce293d4aac
0.01,0.0001,5,0.2927270058123918,13,20260903,c82f70625d5e8eaa4492962cd0a20fafc53b466955aa782974182a0f879c44eb,1475c3f8f8e867d8a9e8ce004aded2d723d9bf09ffcdffff6bd5ecce293d4aac
