step,loss,batch_fetch_seconds,wall_seconds,gpu_milliseconds,source_images,source_images_per_second,context_tokens,target_tokens_per_block
90,0.023799588903784752,8.047197479754686e-05,0.10150910302763805,101.35612487792969,128,1260.9706536875735,12.0,12.0
91,0.017401039600372314,9.258498903363943e-05,0.09757625998463482,97.40723419189453,128,1311.7944879231482,13.0,9.0
92,0.02455158159136772,0.00010061002103611827,0.10061724204570055,100.43981170654297,128,1272.1477690857612,11.0,12.0
93,0.025012169033288956,7.321895100176334e-05,0.10013148299185559,99.99187469482422,128,1278.3192276340415,12.0,12.0
94,0.020472921431064606,7.827801164239645e-05,0.10119256301550195,101.04045104980469,128,1264.9150904537457,12.0,12.0
95,0.030090458691120148,8.351897122338414e-05,0.10031930799596012,100.16047668457031,128,1275.9258666851508,11.0,12.0
96,0.028802547603845596,9.224499808624387e-05,0.09584624198032543,95.67513275146484,128,1335.472287231406,12.0,12.0
97,0.028707284480333328,8.24269955046475e-05,0.11278923804638907,112.62079620361328,128,1134.8600470849435,16.0,9.0
98,0.046704236418008804,6.750802276656032e-05,0.10815290204482153,108.01532745361328,128,1183.5096199910872,15.0,9.0
99,0.0456194132566452,9.812600910663605e-05,0.10930339200422168,109.12207794189453,128,1171.0524042570994,15.0,9.0
100,0.046059854328632355,9.687303099781275e-05,0.11214946501422673,111.97491455078125,128,1141.3340222689653,16.0,9.0
